Database???Annual by Province
Region£ºBeijing
Year£º2017
Indicators,2017
Local Governments General Budgetary Revenue(100 million yuan),5430.79
Local Governments Revenue Tax Revenue(100 million yuan),4676.68
Local Governments Revenue Domestic Value Added Tax(100 million yuan),1671.90
Local Governments Revenue Business Tax(100 million yuan),
Local Governments Revenue Corporate Income Tax(100 million yuan),1229.80
Local Governments Revenue Individual Income Tax(100 million yuan),643.20
Local Governments Revenue Resource Tax(100 million yuan),1.08
Local Governments Revenue Fixed assets investment orientation regulation tax(100 million yuan),
Local Governments Revenue City Maintenance and Construction Tax(100 million yuan),225.41
Local Governments Revenue House Property Tax(100 million yuan),273.11
Local Governments Revenue Stamp Tax(100 million yuan),90.00
Local Governments Revenue Urban Land Use Tax(100 million yuan),19.92
Local Governments Revenue Land Appreciation Tax(100 million yuan),288.99
Local Governments Revenue Tax on Vehicles and Boat Operation(100 million yuan),33.10
Local Governments Revenue Vehicle Purchase Tax(100 million yuan),2.72
Local Governments Revenue Deed Tax(100 million yuan),197.46
Local Governments Revenue Tobacco Leaf Tax,
Local Governments Revenue Other Tax Revenue(100 million yuan),
Local Governments Revenue Non-tax Revenue(100 million yuan),754.11
Local Governments Revenue Special Program Receipts(100 million yuan),462.30
Local Governments Revenue Charge of Administrative and Institutional Units(100 million yuan),65.68
Local Governments Revenue Penalty Receipts(100 million yuan),49.19
Local Governments Revenue State-owned Capital Income,
Local Governments Revenue State-owned Resources(Assets) Paid-use Income,120.42
Local Governments Revenue Other Non-tax Receipts(100 million yuan),56.51
Local Governments General Budgetary Expenditure(100 million yuan),6824.53
Local Governments Expenditure General Public Services(100 million yuan),493.24
Local Governments Expenditure Foreign Affairs(100 million yuan),
Local Governments Expenditure National Defense(100 million yuan),9.96
Local Governments Expenditure Public Security(100 million yuan),467.99
Local Governments Expenditure Education(100 million yuan),964.62
Local Governments Expenditure Science and Technology(100 million yuan),361.76
Local Governments Expenditure Culture Sport and Media(100 million yuan),208.96
Local Governments Expenditure Social Safety Net and Employment Effort(100 million yuan),795.38
Local Governments Expenditure Medical and Health Care(100 million yuan),427.87
Local Governments Expenditure Environmental Protection(100 million yuan),458.44
Local Governments Expenditure Urban and Rural Community Affairs(100 million yuan),1034.14
Local Governments Expenditure Agriculture forestry and Water Conservancy(100 million yuan),518.35
Local Governments Expenditure Transportation(100 million yuan),446.48
Local Governments Expenditure Affairs of Exploration Power and Information(100 million yuan),155.24
Local Governments Expenditure Affairs of Commerce and Services,53.73
Local Governments Expenditure Financial regulation(100 million yuan),12.93
Local Governments Expenditure Post-earthquake Recovery and Reconstruction,
Local Governments Expenditure Land Resources and Meteorology,24.11
Local Governments Expenditure Housing security,148.00
Local Governments Expenditure Affairs of Management of Grain and Oil Reserves(100 million yuan),12.04
Local Governments Expenditure Interest payment domestic and eign debts(100 million yuan),49.73
Local Governments Expenditure Other(100 million yuan),111.89
Note:1.The revenue of the local governments refers to the revenue collected by the local governments. It does not include the receipts of domestic and foreign debts.
¡¡¡¡¡¡2.Domestic value-added tax does not include value-added tax from imports.
"¡¡¡¡¡¡3.Before 2001, the corporate income tax only included state-owned and collective-owned enterprises income tax. Since 2001, the corporate income tax also includes the income tax levied on other enterprises except for state-owned and collective-owned enterprises, the figures are not comparable with the previous years."
¡¡¡¡¡¡4.The expenditure of the local governments refers to the expenditure disbursed by the local governments.Expenditures before 2000 does not include the payment on the principal and interest of domestic and foreign debts and the expenditure for capital construction using foreign loans.
Data Sources£ºNational Bureau of Statistics
