Database???Annual by Province
Region£ºChongqing
Year£º2017
Indicators,2017
Local Governments General Budgetary Revenue(100 million yuan),2252.38
Local Governments Revenue Tax Revenue(100 million yuan),1476.33
Local Governments Revenue Domestic Value Added Tax(100 million yuan),537.05
Local Governments Revenue Business Tax(100 million yuan),
Local Governments Revenue Corporate Income Tax(100 million yuan),203.34
Local Governments Revenue Individual Income Tax(100 million yuan),72.73
Local Governments Revenue Resource Tax(100 million yuan),14.78
Local Governments Revenue Fixed assets investment orientation regulation tax(100 million yuan),
Local Governments Revenue City Maintenance and Construction Tax(100 million yuan),83.55
Local Governments Revenue House Property Tax(100 million yuan),64.90
Local Governments Revenue Stamp Tax(100 million yuan),31.95
Local Governments Revenue Urban Land Use Tax(100 million yuan),147.00
Local Governments Revenue Land Appreciation Tax(100 million yuan),83.95
Local Governments Revenue Tax on Vehicles and Boat Operation(100 million yuan),12.70
Local Governments Revenue Vehicle Purchase Tax(100 million yuan),43.41
Local Governments Revenue Deed Tax(100 million yuan),178.57
Local Governments Revenue Tobacco Leaf Tax,2.39
Local Governments Revenue Other Tax Revenue(100 million yuan),
Local Governments Revenue Non-tax Revenue(100 million yuan),776.05
Local Governments Revenue Special Program Receipts(100 million yuan),92.47
Local Governments Revenue Charge of Administrative and Institutional Units(100 million yuan),263.08
Local Governments Revenue Penalty Receipts(100 million yuan),44.02
Local Governments Revenue State-owned Capital Income,
Local Governments Revenue State-owned Resources(Assets) Paid-use Income,332.01
Local Governments Revenue Other Non-tax Receipts(100 million yuan),44.47
Local Governments General Budgetary Expenditure(100 million yuan),4336.28
Local Governments Expenditure General Public Services(100 million yuan),304.55
Local Governments Expenditure Foreign Affairs(100 million yuan),0.13
Local Governments Expenditure National Defense(100 million yuan),4.84
Local Governments Expenditure Public Security(100 million yuan),235.91
Local Governments Expenditure Education(100 million yuan),626.30
Local Governments Expenditure Science and Technology(100 million yuan),59.31
Local Governments Expenditure Culture Sport and Media(100 million yuan),48.89
Local Governments Expenditure Social Safety Net and Employment Effort(100 million yuan),702.82
Local Governments Expenditure Medical and Health Care(100 million yuan),353.79
Local Governments Expenditure Environmental Protection(100 million yuan),154.95
Local Governments Expenditure Urban and Rural Community Affairs(100 million yuan),815.64
Local Governments Expenditure Agriculture forestry and Water Conservancy(100 million yuan),347.57
Local Governments Expenditure Transportation(100 million yuan),287.97
Local Governments Expenditure Affairs of Exploration Power and Information(100 million yuan),92.25
Local Governments Expenditure Affairs of Commerce and Services,60.66
Local Governments Expenditure Financial regulation(100 million yuan),1.67
Local Governments Expenditure Post-earthquake Recovery and Reconstruction,
Local Governments Expenditure Land Resources and Meteorology,54.14
Local Governments Expenditure Housing security,112.78
Local Governments Expenditure Affairs of Management of Grain and Oil Reserves(100 million yuan),12.57
Local Governments Expenditure Interest payment domestic and eign debts(100 million yuan),52.64
Local Governments Expenditure Other(100 million yuan),4.10
Note:1.The revenue of the local governments refers to the revenue collected by the local governments. It does not include the receipts of domestic and foreign debts.
¡¡¡¡¡¡2.Domestic value-added tax does not include value-added tax from imports.
"¡¡¡¡¡¡3.Before 2001, the corporate income tax only included state-owned and collective-owned enterprises income tax. Since 2001, the corporate income tax also includes the income tax levied on other enterprises except for state-owned and collective-owned enterprises, the figures are not comparable with the previous years."
¡¡¡¡¡¡4.The expenditure of the local governments refers to the expenditure disbursed by the local governments.Expenditures before 2000 does not include the payment on the principal and interest of domestic and foreign debts and the expenditure for capital construction using foreign loans.
Data Sources£ºNational Bureau of Statistics
