Database???Annual by Province
Region£ºGuangdong
Year£º2017
Indicators,2017
Local Governments General Budgetary Revenue(100 million yuan),11320.35
Local Governments Revenue Tax Revenue(100 million yuan),8871.89
Local Governments Revenue Domestic Value Added Tax(100 million yuan),3675.43
Local Governments Revenue Business Tax(100 million yuan),
Local Governments Revenue Corporate Income Tax(100 million yuan),1767.83
Local Governments Revenue Individual Income Tax(100 million yuan),755.91
Local Governments Revenue Resource Tax(100 million yuan),14.18
Local Governments Revenue Fixed assets investment orientation regulation tax(100 million yuan),
Local Governments Revenue City Maintenance and Construction Tax(100 million yuan),534.97
Local Governments Revenue House Property Tax(100 million yuan),299.46
Local Governments Revenue Stamp Tax(100 million yuan),142.29
Local Governments Revenue Urban Land Use Tax(100 million yuan),111.98
Local Governments Revenue Land Appreciation Tax(100 million yuan),839.11
Local Governments Revenue Tax on Vehicles and Boat Operation(100 million yuan),84.35
Local Governments Revenue Vehicle Purchase Tax(100 million yuan),66.26
Local Governments Revenue Deed Tax(100 million yuan),578.75
Local Governments Revenue Tobacco Leaf Tax,1.38
Local Governments Revenue Other Tax Revenue(100 million yuan),
Local Governments Revenue Non-tax Revenue(100 million yuan),2448.46
Local Governments Revenue Special Program Receipts(100 million yuan),873.93
Local Governments Revenue Charge of Administrative and Institutional Units(100 million yuan),285.37
Local Governments Revenue Penalty Receipts(100 million yuan),224.67
Local Governments Revenue State-owned Capital Income,39.16
Local Governments Revenue State-owned Resources(Assets) Paid-use Income,554.39
Local Governments Revenue Other Non-tax Receipts(100 million yuan),470.94
Local Governments General Budgetary Expenditure(100 million yuan),15037.48
Local Governments Expenditure General Public Services(100 million yuan),1355.60
Local Governments Expenditure Foreign Affairs(100 million yuan),0.26
Local Governments Expenditure National Defense(100 million yuan),11.85
Local Governments Expenditure Public Security(100 million yuan),1214.04
Local Governments Expenditure Education(100 million yuan),2575.52
Local Governments Expenditure Science and Technology(100 million yuan),823.89
Local Governments Expenditure Culture Sport and Media(100 million yuan),285.87
Local Governments Expenditure Social Safety Net and Employment Effort(100 million yuan),1423.33
Local Governments Expenditure Medical and Health Care(100 million yuan),1307.56
Local Governments Expenditure Environmental Protection(100 million yuan),433.23
Local Governments Expenditure Urban and Rural Community Affairs(100 million yuan),2180.53
Local Governments Expenditure Agriculture forestry and Water Conservancy(100 million yuan),754.40
Local Governments Expenditure Transportation(100 million yuan),848.40
Local Governments Expenditure Affairs of Exploration Power and Information(100 million yuan),402.60
Local Governments Expenditure Affairs of Commerce and Services,91.73
Local Governments Expenditure Financial regulation(100 million yuan),20.65
Local Governments Expenditure Post-earthquake Recovery and Reconstruction,
Local Governments Expenditure Land Resources and Meteorology,156.54
Local Governments Expenditure Housing security,762.03
Local Governments Expenditure Affairs of Management of Grain and Oil Reserves(100 million yuan),58.51
Local Governments Expenditure Interest payment domestic and eign debts(100 million yuan),115.25
Local Governments Expenditure Other(100 million yuan),96.18
Note:1.The revenue of the local governments refers to the revenue collected by the local governments. It does not include the receipts of domestic and foreign debts.
¡¡¡¡¡¡2.Domestic value-added tax does not include value-added tax from imports.
"¡¡¡¡¡¡3.Before 2001, the corporate income tax only included state-owned and collective-owned enterprises income tax. Since 2001, the corporate income tax also includes the income tax levied on other enterprises except for state-owned and collective-owned enterprises, the figures are not comparable with the previous years."
¡¡¡¡¡¡4.The expenditure of the local governments refers to the expenditure disbursed by the local governments.Expenditures before 2000 does not include the payment on the principal and interest of domestic and foreign debts and the expenditure for capital construction using foreign loans.
Data Sources£ºNational Bureau of Statistics
