Database???Annual by Province
Region£ºGuangxi
Year£º2017
Indicators,2017
Local Governments General Budgetary Revenue(100 million yuan),1615.13
Local Governments Revenue Tax Revenue(100 million yuan),1057.69
Local Governments Revenue Domestic Value Added Tax(100 million yuan),428.99
Local Governments Revenue Business Tax(100 million yuan),
Local Governments Revenue Corporate Income Tax(100 million yuan),127.75
Local Governments Revenue Individual Income Tax(100 million yuan),50.19
Local Governments Revenue Resource Tax(100 million yuan),16.78
Local Governments Revenue Fixed assets investment orientation regulation tax(100 million yuan),
Local Governments Revenue City Maintenance and Construction Tax(100 million yuan),68.28
Local Governments Revenue House Property Tax(100 million yuan),32.67
Local Governments Revenue Stamp Tax(100 million yuan),19.11
Local Governments Revenue Urban Land Use Tax(100 million yuan),31.11
Local Governments Revenue Land Appreciation Tax(100 million yuan),72.79
Local Governments Revenue Tax on Vehicles and Boat Operation(100 million yuan),17.22
Local Governments Revenue Vehicle Purchase Tax(100 million yuan),90.43
Local Governments Revenue Deed Tax(100 million yuan),101.35
Local Governments Revenue Tobacco Leaf Tax,1.02
Local Governments Revenue Other Tax Revenue(100 million yuan),
Local Governments Revenue Non-tax Revenue(100 million yuan),557.44
Local Governments Revenue Special Program Receipts(100 million yuan),134.80
Local Governments Revenue Charge of Administrative and Institutional Units(100 million yuan),97.14
Local Governments Revenue Penalty Receipts(100 million yuan),45.08
Local Governments Revenue State-owned Capital Income,69.06
Local Governments Revenue State-owned Resources(Assets) Paid-use Income,161.69
Local Governments Revenue Other Non-tax Receipts(100 million yuan),49.68
Local Governments General Budgetary Expenditure(100 million yuan),4908.55
Local Governments Expenditure General Public Services(100 million yuan),455.35
Local Governments Expenditure Foreign Affairs(100 million yuan),0.01
Local Governments Expenditure National Defense(100 million yuan),8.78
Local Governments Expenditure Public Security(100 million yuan),283.17
Local Governments Expenditure Education(100 million yuan),920.20
Local Governments Expenditure Science and Technology(100 million yuan),60.04
Local Governments Expenditure Culture Sport and Media(100 million yuan),64.36
Local Governments Expenditure Social Safety Net and Employment Effort(100 million yuan),678.65
Local Governments Expenditure Medical and Health Care(100 million yuan),512.31
Local Governments Expenditure Environmental Protection(100 million yuan),85.11
Local Governments Expenditure Urban and Rural Community Affairs(100 million yuan),529.69
Local Governments Expenditure Agriculture forestry and Water Conservancy(100 million yuan),646.87
Local Governments Expenditure Transportation(100 million yuan),244.09
Local Governments Expenditure Affairs of Exploration Power and Information(100 million yuan),82.82
Local Governments Expenditure Affairs of Commerce and Services,38.69
Local Governments Expenditure Financial regulation(100 million yuan),3.48
Local Governments Expenditure Post-earthquake Recovery and Reconstruction,
Local Governments Expenditure Land Resources and Meteorology,57.03
Local Governments Expenditure Housing security,140.38
Local Governments Expenditure Affairs of Management of Grain and Oil Reserves(100 million yuan),19.50
Local Governments Expenditure Interest payment domestic and eign debts(100 million yuan),68.55
Local Governments Expenditure Other(100 million yuan),8.49
Note:1.The revenue of the local governments refers to the revenue collected by the local governments. It does not include the receipts of domestic and foreign debts.
¡¡¡¡¡¡2.Domestic value-added tax does not include value-added tax from imports.
"¡¡¡¡¡¡3.Before 2001, the corporate income tax only included state-owned and collective-owned enterprises income tax. Since 2001, the corporate income tax also includes the income tax levied on other enterprises except for state-owned and collective-owned enterprises, the figures are not comparable with the previous years."
¡¡¡¡¡¡4.The expenditure of the local governments refers to the expenditure disbursed by the local governments.Expenditures before 2000 does not include the payment on the principal and interest of domestic and foreign debts and the expenditure for capital construction using foreign loans.
Data Sources£ºNational Bureau of Statistics
