Database???Annual by Province
Region£ºGuizhou
Year£º2017
Indicators,2017
Local Governments General Budgetary Revenue(100 million yuan),1613.84
Local Governments Revenue Tax Revenue(100 million yuan),1179.73
Local Governments Revenue Domestic Value Added Tax(100 million yuan),417.73
Local Governments Revenue Business Tax(100 million yuan),
Local Governments Revenue Corporate Income Tax(100 million yuan),146.67
Local Governments Revenue Individual Income Tax(100 million yuan),48.55
Local Governments Revenue Resource Tax(100 million yuan),30.77
Local Governments Revenue Fixed assets investment orientation regulation tax(100 million yuan),
Local Governments Revenue City Maintenance and Construction Tax(100 million yuan),67.26
Local Governments Revenue House Property Tax(100 million yuan),38.61
Local Governments Revenue Stamp Tax(100 million yuan),17.31
Local Governments Revenue Urban Land Use Tax(100 million yuan),37.90
Local Governments Revenue Land Appreciation Tax(100 million yuan),108.66
Local Governments Revenue Tax on Vehicles and Boat Operation(100 million yuan),11.84
Local Governments Revenue Vehicle Purchase Tax(100 million yuan),153.10
Local Governments Revenue Deed Tax(100 million yuan),89.29
Local Governments Revenue Tobacco Leaf Tax,12.04
Local Governments Revenue Other Tax Revenue(100 million yuan),
Local Governments Revenue Non-tax Revenue(100 million yuan),434.11
Local Governments Revenue Special Program Receipts(100 million yuan),91.25
Local Governments Revenue Charge of Administrative and Institutional Units(100 million yuan),73.81
Local Governments Revenue Penalty Receipts(100 million yuan),50.00
Local Governments Revenue State-owned Capital Income,25.32
Local Governments Revenue State-owned Resources(Assets) Paid-use Income,133.71
Local Governments Revenue Other Non-tax Receipts(100 million yuan),60.02
Local Governments General Budgetary Expenditure(100 million yuan),4612.52
Local Governments Expenditure General Public Services(100 million yuan),464.83
Local Governments Expenditure Foreign Affairs(100 million yuan),
Local Governments Expenditure National Defense(100 million yuan),4.40
Local Governments Expenditure Public Security(100 million yuan),268.09
Local Governments Expenditure Education(100 million yuan),901.96
Local Governments Expenditure Science and Technology(100 million yuan),87.72
Local Governments Expenditure Culture Sport and Media(100 million yuan),64.73
Local Governments Expenditure Social Safety Net and Employment Effort(100 million yuan),498.74
Local Governments Expenditure Medical and Health Care(100 million yuan),436.21
Local Governments Expenditure Environmental Protection(100 million yuan),125.39
Local Governments Expenditure Urban and Rural Community Affairs(100 million yuan),198.82
Local Governments Expenditure Agriculture forestry and Water Conservancy(100 million yuan),612.05
Local Governments Expenditure Transportation(100 million yuan),336.91
Local Governments Expenditure Affairs of Exploration Power and Information(100 million yuan),97.96
Local Governments Expenditure Affairs of Commerce and Services,30.16
Local Governments Expenditure Financial regulation(100 million yuan),0.74
Local Governments Expenditure Post-earthquake Recovery and Reconstruction,
Local Governments Expenditure Land Resources and Meteorology,46.38
Local Governments Expenditure Housing security,251.86
Local Governments Expenditure Affairs of Management of Grain and Oil Reserves(100 million yuan),9.02
Local Governments Expenditure Interest payment domestic and eign debts(100 million yuan),116.16
Local Governments Expenditure Other(100 million yuan),59.30
Note:1.The revenue of the local governments refers to the revenue collected by the local governments. It does not include the receipts of domestic and foreign debts.
¡¡¡¡¡¡2.Domestic value-added tax does not include value-added tax from imports.
"¡¡¡¡¡¡3.Before 2001, the corporate income tax only included state-owned and collective-owned enterprises income tax. Since 2001, the corporate income tax also includes the income tax levied on other enterprises except for state-owned and collective-owned enterprises, the figures are not comparable with the previous years."
¡¡¡¡¡¡4.The expenditure of the local governments refers to the expenditure disbursed by the local governments.Expenditures before 2000 does not include the payment on the principal and interest of domestic and foreign debts and the expenditure for capital construction using foreign loans.
Data Sources£ºNational Bureau of Statistics
