Database???Annual by Province
Region£ºHainan
Year£º2017
Indicators,2017
Local Governments General Budgetary Revenue(100 million yuan),674.11
Local Governments Revenue Tax Revenue(100 million yuan),543.56
Local Governments Revenue Domestic Value Added Tax(100 million yuan),201.27
Local Governments Revenue Business Tax(100 million yuan),
Local Governments Revenue Corporate Income Tax(100 million yuan),83.48
Local Governments Revenue Individual Income Tax(100 million yuan),28.95
Local Governments Revenue Resource Tax(100 million yuan),3.41
Local Governments Revenue Fixed assets investment orientation regulation tax(100 million yuan),
Local Governments Revenue City Maintenance and Construction Tax(100 million yuan),29.23
Local Governments Revenue House Property Tax(100 million yuan),19.45
Local Governments Revenue Stamp Tax(100 million yuan),9.13
Local Governments Revenue Urban Land Use Tax(100 million yuan),28.20
Local Governments Revenue Land Appreciation Tax(100 million yuan),98.66
Local Governments Revenue Tax on Vehicles and Boat Operation(100 million yuan),3.88
Local Governments Revenue Vehicle Purchase Tax(100 million yuan),0.95
Local Governments Revenue Deed Tax(100 million yuan),36.95
Local Governments Revenue Tobacco Leaf Tax,
Local Governments Revenue Other Tax Revenue(100 million yuan),
Local Governments Revenue Non-tax Revenue(100 million yuan),130.54
Local Governments Revenue Special Program Receipts(100 million yuan),53.41
Local Governments Revenue Charge of Administrative and Institutional Units(100 million yuan),17.56
Local Governments Revenue Penalty Receipts(100 million yuan),10.87
Local Governments Revenue State-owned Capital Income,2.87
Local Governments Revenue State-owned Resources(Assets) Paid-use Income,36.94
Local Governments Revenue Other Non-tax Receipts(100 million yuan),8.90
Local Governments General Budgetary Expenditure(100 million yuan),1443.97
Local Governments Expenditure General Public Services(100 million yuan),122.13
Local Governments Expenditure Foreign Affairs(100 million yuan),0.96
Local Governments Expenditure National Defense(100 million yuan),5.14
Local Governments Expenditure Public Security(100 million yuan),85.72
Local Governments Expenditure Education(100 million yuan),220.87
Local Governments Expenditure Science and Technology(100 million yuan),12.47
Local Governments Expenditure Culture Sport and Media(100 million yuan),29.86
Local Governments Expenditure Social Safety Net and Employment Effort(100 million yuan),183.08
Local Governments Expenditure Medical and Health Care(100 million yuan),127.37
Local Governments Expenditure Environmental Protection(100 million yuan),35.72
Local Governments Expenditure Urban and Rural Community Affairs(100 million yuan),119.92
Local Governments Expenditure Agriculture forestry and Water Conservancy(100 million yuan),198.42
Local Governments Expenditure Transportation(100 million yuan),136.90
Local Governments Expenditure Affairs of Exploration Power and Information(100 million yuan),26.20
Local Governments Expenditure Affairs of Commerce and Services,12.36
Local Governments Expenditure Financial regulation(100 million yuan),0.88
Local Governments Expenditure Post-earthquake Recovery and Reconstruction,
Local Governments Expenditure Land Resources and Meteorology,25.56
Local Governments Expenditure Housing security,55.36
Local Governments Expenditure Affairs of Management of Grain and Oil Reserves(100 million yuan),4.18
Local Governments Expenditure Interest payment domestic and eign debts(100 million yuan),30.29
Local Governments Expenditure Other(100 million yuan),10.27
Note:1.The revenue of the local governments refers to the revenue collected by the local governments. It does not include the receipts of domestic and foreign debts.
¡¡¡¡¡¡2.Domestic value-added tax does not include value-added tax from imports.
"¡¡¡¡¡¡3.Before 2001, the corporate income tax only included state-owned and collective-owned enterprises income tax. Since 2001, the corporate income tax also includes the income tax levied on other enterprises except for state-owned and collective-owned enterprises, the figures are not comparable with the previous years."
¡¡¡¡¡¡4.The expenditure of the local governments refers to the expenditure disbursed by the local governments.Expenditures before 2000 does not include the payment on the principal and interest of domestic and foreign debts and the expenditure for capital construction using foreign loans.
Data Sources£ºNational Bureau of Statistics
