Database???Annual by Province
Region£ºHebei
Year£º2017
Indicators,2017
Local Governments General Budgetary Revenue(100 million yuan),3233.83
Local Governments Revenue Tax Revenue(100 million yuan),2199.35
Local Governments Revenue Domestic Value Added Tax(100 million yuan),913.73
Local Governments Revenue Business Tax(100 million yuan),
Local Governments Revenue Corporate Income Tax(100 million yuan),351.75
Local Governments Revenue Individual Income Tax(100 million yuan),92.29
Local Governments Revenue Resource Tax(100 million yuan),44.98
Local Governments Revenue Fixed assets investment orientation regulation tax(100 million yuan),
Local Governments Revenue City Maintenance and Construction Tax(100 million yuan),129.00
Local Governments Revenue House Property Tax(100 million yuan),62.21
Local Governments Revenue Stamp Tax(100 million yuan),43.02
Local Governments Revenue Urban Land Use Tax(100 million yuan),112.14
Local Governments Revenue Land Appreciation Tax(100 million yuan),168.70
Local Governments Revenue Tax on Vehicles and Boat Operation(100 million yuan),41.86
Local Governments Revenue Vehicle Purchase Tax(100 million yuan),58.50
Local Governments Revenue Deed Tax(100 million yuan),181.08
Local Governments Revenue Tobacco Leaf Tax,0.09
Local Governments Revenue Other Tax Revenue(100 million yuan),
Local Governments Revenue Non-tax Revenue(100 million yuan),1034.48
Local Governments Revenue Special Program Receipts(100 million yuan),248.61
Local Governments Revenue Charge of Administrative and Institutional Units(100 million yuan),189.16
Local Governments Revenue Penalty Receipts(100 million yuan),148.75
Local Governments Revenue State-owned Capital Income,28.00
Local Governments Revenue State-owned Resources(Assets) Paid-use Income,343.78
Local Governments Revenue Other Non-tax Receipts(100 million yuan),76.18
Local Governments General Budgetary Expenditure(100 million yuan),6639.18
Local Governments Expenditure General Public Services(100 million yuan),633.18
Local Governments Expenditure Foreign Affairs(100 million yuan),
Local Governments Expenditure National Defense(100 million yuan),8.81
Local Governments Expenditure Public Security(100 million yuan),367.55
Local Governments Expenditure Education(100 million yuan),1276.55
Local Governments Expenditure Science and Technology(100 million yuan),69.08
Local Governments Expenditure Culture Sport and Media(100 million yuan),103.19
Local Governments Expenditure Social Safety Net and Employment Effort(100 million yuan),976.88
Local Governments Expenditure Medical and Health Care(100 million yuan),605.10
Local Governments Expenditure Environmental Protection(100 million yuan),353.45
Local Governments Expenditure Urban and Rural Community Affairs(100 million yuan),455.35
Local Governments Expenditure Agriculture forestry and Water Conservancy(100 million yuan),782.91
Local Governments Expenditure Transportation(100 million yuan),352.42
Local Governments Expenditure Affairs of Exploration Power and Information(100 million yuan),114.05
Local Governments Expenditure Affairs of Commerce and Services,39.20
Local Governments Expenditure Financial regulation(100 million yuan),4.09
Local Governments Expenditure Post-earthquake Recovery and Reconstruction,
Local Governments Expenditure Land Resources and Meteorology,118.39
Local Governments Expenditure Housing security,175.12
Local Governments Expenditure Affairs of Management of Grain and Oil Reserves(100 million yuan),18.97
Local Governments Expenditure Interest payment domestic and eign debts(100 million yuan),115.36
Local Governments Expenditure Other(100 million yuan),60.96
Note:1.The revenue of the local governments refers to the revenue collected by the local governments. It does not include the receipts of domestic and foreign debts.
¡¡¡¡¡¡2.Domestic value-added tax does not include value-added tax from imports.
"¡¡¡¡¡¡3.Before 2001, the corporate income tax only included state-owned and collective-owned enterprises income tax. Since 2001, the corporate income tax also includes the income tax levied on other enterprises except for state-owned and collective-owned enterprises, the figures are not comparable with the previous years."
¡¡¡¡¡¡4.The expenditure of the local governments refers to the expenditure disbursed by the local governments.Expenditures before 2000 does not include the payment on the principal and interest of domestic and foreign debts and the expenditure for capital construction using foreign loans.
Data Sources£ºNational Bureau of Statistics
