Database???Annual by Province
Region£ºHeilongjiang
Year£º2017
Indicators,2017
Local Governments General Budgetary Revenue(100 million yuan),1243.31
Local Governments Revenue Tax Revenue(100 million yuan),901.91
Local Governments Revenue Domestic Value Added Tax(100 million yuan),357.74
Local Governments Revenue Business Tax(100 million yuan),
Local Governments Revenue Corporate Income Tax(100 million yuan),102.38
Local Governments Revenue Individual Income Tax(100 million yuan),41.46
Local Governments Revenue Resource Tax(100 million yuan),53.59
Local Governments Revenue Fixed assets investment orientation regulation tax(100 million yuan),
Local Governments Revenue City Maintenance and Construction Tax(100 million yuan),58.08
Local Governments Revenue House Property Tax(100 million yuan),38.27
Local Governments Revenue Stamp Tax(100 million yuan),11.75
Local Governments Revenue Urban Land Use Tax(100 million yuan),75.21
Local Governments Revenue Land Appreciation Tax(100 million yuan),63.41
Local Governments Revenue Tax on Vehicles and Boat Operation(100 million yuan),19.40
Local Governments Revenue Vehicle Purchase Tax(100 million yuan),20.92
Local Governments Revenue Deed Tax(100 million yuan),58.23
Local Governments Revenue Tobacco Leaf Tax,1.48
Local Governments Revenue Other Tax Revenue(100 million yuan),
Local Governments Revenue Non-tax Revenue(100 million yuan),341.41
Local Governments Revenue Special Program Receipts(100 million yuan),65.74
Local Governments Revenue Charge of Administrative and Institutional Units(100 million yuan),62.37
Local Governments Revenue Penalty Receipts(100 million yuan),45.99
Local Governments Revenue State-owned Capital Income,28.01
Local Governments Revenue State-owned Resources(Assets) Paid-use Income,113.78
Local Governments Revenue Other Non-tax Receipts(100 million yuan),25.52
Local Governments General Budgetary Expenditure(100 million yuan),4641.08
Local Governments Expenditure General Public Services(100 million yuan),279.08
Local Governments Expenditure Foreign Affairs(100 million yuan),
Local Governments Expenditure National Defense(100 million yuan),5.34
Local Governments Expenditure Public Security(100 million yuan),223.39
Local Governments Expenditure Education(100 million yuan),573.11
Local Governments Expenditure Science and Technology(100 million yuan),46.91
Local Governments Expenditure Culture Sport and Media(100 million yuan),53.56
Local Governments Expenditure Social Safety Net and Employment Effort(100 million yuan),928.55
Local Governments Expenditure Medical and Health Care(100 million yuan),297.17
Local Governments Expenditure Environmental Protection(100 million yuan),193.20
Local Governments Expenditure Urban and Rural Community Affairs(100 million yuan),456.70
Local Governments Expenditure Agriculture forestry and Water Conservancy(100 million yuan),815.16
Local Governments Expenditure Transportation(100 million yuan),252.56
Local Governments Expenditure Affairs of Exploration Power and Information(100 million yuan),70.35
Local Governments Expenditure Affairs of Commerce and Services,18.28
Local Governments Expenditure Financial regulation(100 million yuan),2.92
Local Governments Expenditure Post-earthquake Recovery and Reconstruction,
Local Governments Expenditure Land Resources and Meteorology,47.83
Local Governments Expenditure Housing security,265.15
Local Governments Expenditure Affairs of Management of Grain and Oil Reserves(100 million yuan),48.32
Local Governments Expenditure Interest payment domestic and eign debts(100 million yuan),55.18
Local Governments Expenditure Other(100 million yuan),4.82
Note:1.The revenue of the local governments refers to the revenue collected by the local governments. It does not include the receipts of domestic and foreign debts.
¡¡¡¡¡¡2.Domestic value-added tax does not include value-added tax from imports.
"¡¡¡¡¡¡3.Before 2001, the corporate income tax only included state-owned and collective-owned enterprises income tax. Since 2001, the corporate income tax also includes the income tax levied on other enterprises except for state-owned and collective-owned enterprises, the figures are not comparable with the previous years."
¡¡¡¡¡¡4.The expenditure of the local governments refers to the expenditure disbursed by the local governments.Expenditures before 2000 does not include the payment on the principal and interest of domestic and foreign debts and the expenditure for capital construction using foreign loans.
Data Sources£ºNational Bureau of Statistics
