Database???Annual by Province
Region£ºHenan
Year£º2017
Indicators,2017
Local Governments General Budgetary Revenue(100 million yuan),3407.22
Local Governments Revenue Tax Revenue(100 million yuan),2329.31
Local Governments Revenue Domestic Value Added Tax(100 million yuan),888.93
Local Governments Revenue Business Tax(100 million yuan),
Local Governments Revenue Corporate Income Tax(100 million yuan),332.02
Local Governments Revenue Individual Income Tax(100 million yuan),86.31
Local Governments Revenue Resource Tax(100 million yuan),35.57
Local Governments Revenue Fixed assets investment orientation regulation tax(100 million yuan),
Local Governments Revenue City Maintenance and Construction Tax(100 million yuan),131.43
Local Governments Revenue House Property Tax(100 million yuan),65.12
Local Governments Revenue Stamp Tax(100 million yuan),36.04
Local Governments Revenue Urban Land Use Tax(100 million yuan),116.22
Local Governments Revenue Land Appreciation Tax(100 million yuan),192.24
Local Governments Revenue Tax on Vehicles and Boat Operation(100 million yuan),39.63
Local Governments Revenue Vehicle Purchase Tax(100 million yuan),189.15
Local Governments Revenue Deed Tax(100 million yuan),208.54
Local Governments Revenue Tobacco Leaf Tax,8.12
Local Governments Revenue Other Tax Revenue(100 million yuan),
Local Governments Revenue Non-tax Revenue(100 million yuan),1077.91
Local Governments Revenue Special Program Receipts(100 million yuan),283.27
Local Governments Revenue Charge of Administrative and Institutional Units(100 million yuan),250.60
Local Governments Revenue Penalty Receipts(100 million yuan),115.76
Local Governments Revenue State-owned Capital Income,77.55
Local Governments Revenue State-owned Resources(Assets) Paid-use Income,240.51
Local Governments Revenue Other Non-tax Receipts(100 million yuan),110.23
Local Governments General Budgetary Expenditure(100 million yuan),8215.52
Local Governments Expenditure General Public Services(100 million yuan),850.29
Local Governments Expenditure Foreign Affairs(100 million yuan),
Local Governments Expenditure National Defense(100 million yuan),5.98
Local Governments Expenditure Public Security(100 million yuan),417.11
Local Governments Expenditure Education(100 million yuan),1493.11
Local Governments Expenditure Science and Technology(100 million yuan),137.94
Local Governments Expenditure Culture Sport and Media(100 million yuan),97.52
Local Governments Expenditure Social Safety Net and Employment Effort(100 million yuan),1160.23
Local Governments Expenditure Medical and Health Care(100 million yuan),836.66
Local Governments Expenditure Environmental Protection(100 million yuan),241.65
Local Governments Expenditure Urban and Rural Community Affairs(100 million yuan),1122.67
Local Governments Expenditure Agriculture forestry and Water Conservancy(100 million yuan),916.81
Local Governments Expenditure Transportation(100 million yuan),296.17
Local Governments Expenditure Affairs of Exploration Power and Information(100 million yuan),104.08
Local Governments Expenditure Affairs of Commerce and Services,34.57
Local Governments Expenditure Financial regulation(100 million yuan),18.99
Local Governments Expenditure Post-earthquake Recovery and Reconstruction,
Local Governments Expenditure Land Resources and Meteorology,65.86
Local Governments Expenditure Housing security,248.12
Local Governments Expenditure Affairs of Management of Grain and Oil Reserves(100 million yuan),35.19
Local Governments Expenditure Interest payment domestic and eign debts(100 million yuan),99.78
Local Governments Expenditure Other(100 million yuan),28.52
Note:1.The revenue of the local governments refers to the revenue collected by the local governments. It does not include the receipts of domestic and foreign debts.
¡¡¡¡¡¡2.Domestic value-added tax does not include value-added tax from imports.
"¡¡¡¡¡¡3.Before 2001, the corporate income tax only included state-owned and collective-owned enterprises income tax. Since 2001, the corporate income tax also includes the income tax levied on other enterprises except for state-owned and collective-owned enterprises, the figures are not comparable with the previous years."
¡¡¡¡¡¡4.The expenditure of the local governments refers to the expenditure disbursed by the local governments.Expenditures before 2000 does not include the payment on the principal and interest of domestic and foreign debts and the expenditure for capital construction using foreign loans.
Data Sources£ºNational Bureau of Statistics
