Database???Annual by Province
Region£ºHubei
Year£º2017
Indicators,2017
Local Governments General Budgetary Revenue(100 million yuan),3248.32
Local Governments Revenue Tax Revenue(100 million yuan),2247.82
Local Governments Revenue Domestic Value Added Tax(100 million yuan),860.67
Local Governments Revenue Business Tax(100 million yuan),
Local Governments Revenue Corporate Income Tax(100 million yuan),349.62
Local Governments Revenue Individual Income Tax(100 million yuan),121.94
Local Governments Revenue Resource Tax(100 million yuan),14.15
Local Governments Revenue Fixed assets investment orientation regulation tax(100 million yuan),
Local Governments Revenue City Maintenance and Construction Tax(100 million yuan),162.73
Local Governments Revenue House Property Tax(100 million yuan),82.67
Local Governments Revenue Stamp Tax(100 million yuan),33.95
Local Governments Revenue Urban Land Use Tax(100 million yuan),67.66
Local Governments Revenue Land Appreciation Tax(100 million yuan),215.80
Local Governments Revenue Tax on Vehicles and Boat Operation(100 million yuan),24.50
Local Governments Revenue Vehicle Purchase Tax(100 million yuan),106.37
Local Governments Revenue Deed Tax(100 million yuan),204.87
Local Governments Revenue Tobacco Leaf Tax,2.91
Local Governments Revenue Other Tax Revenue(100 million yuan),
Local Governments Revenue Non-tax Revenue(100 million yuan),1000.49
Local Governments Revenue Special Program Receipts(100 million yuan),196.38
Local Governments Revenue Charge of Administrative and Institutional Units(100 million yuan),348.30
Local Governments Revenue Penalty Receipts(100 million yuan),82.16
Local Governments Revenue State-owned Capital Income,31.60
Local Governments Revenue State-owned Resources(Assets) Paid-use Income,258.23
Local Governments Revenue Other Non-tax Receipts(100 million yuan),83.83
Local Governments General Budgetary Expenditure(100 million yuan),6801.26
Local Governments Expenditure General Public Services(100 million yuan),688.85
Local Governments Expenditure Foreign Affairs(100 million yuan),
Local Governments Expenditure National Defense(100 million yuan),3.56
Local Governments Expenditure Public Security(100 million yuan),397.54
Local Governments Expenditure Education(100 million yuan),1101.35
Local Governments Expenditure Science and Technology(100 million yuan),234.27
Local Governments Expenditure Culture Sport and Media(100 million yuan),95.26
Local Governments Expenditure Social Safety Net and Employment Effort(100 million yuan),1092.30
Local Governments Expenditure Medical and Health Care(100 million yuan),614.69
Local Governments Expenditure Environmental Protection(100 million yuan),139.71
Local Governments Expenditure Urban and Rural Community Affairs(100 million yuan),693.61
Local Governments Expenditure Agriculture forestry and Water Conservancy(100 million yuan),714.73
Local Governments Expenditure Transportation(100 million yuan),306.31
Local Governments Expenditure Affairs of Exploration Power and Information(100 million yuan),174.28
Local Governments Expenditure Affairs of Commerce and Services,33.71
Local Governments Expenditure Financial regulation(100 million yuan),4.26
Local Governments Expenditure Post-earthquake Recovery and Reconstruction,
Local Governments Expenditure Land Resources and Meteorology,90.68
Local Governments Expenditure Housing security,249.55
Local Governments Expenditure Affairs of Management of Grain and Oil Reserves(100 million yuan),34.36
Local Governments Expenditure Interest payment domestic and eign debts(100 million yuan),101.49
Local Governments Expenditure Other(100 million yuan),23.38
Note:1.The revenue of the local governments refers to the revenue collected by the local governments. It does not include the receipts of domestic and foreign debts.
¡¡¡¡¡¡2.Domestic value-added tax does not include value-added tax from imports.
"¡¡¡¡¡¡3.Before 2001, the corporate income tax only included state-owned and collective-owned enterprises income tax. Since 2001, the corporate income tax also includes the income tax levied on other enterprises except for state-owned and collective-owned enterprises, the figures are not comparable with the previous years."
¡¡¡¡¡¡4.The expenditure of the local governments refers to the expenditure disbursed by the local governments.Expenditures before 2000 does not include the payment on the principal and interest of domestic and foreign debts and the expenditure for capital construction using foreign loans.
Data Sources£ºNational Bureau of Statistics
