Database???Annual by Province
Region£ºHunan
Year£º2017
Indicators,2017
Local Governments General Budgetary Revenue(100 million yuan),2757.82
Local Governments Revenue Tax Revenue(100 million yuan),1759.13
Local Governments Revenue Domestic Value Added Tax(100 million yuan),702.15
Local Governments Revenue Business Tax(100 million yuan),
Local Governments Revenue Corporate Income Tax(100 million yuan),201.94
Local Governments Revenue Individual Income Tax(100 million yuan),90.21
Local Governments Revenue Resource Tax(100 million yuan),9.59
Local Governments Revenue Fixed assets investment orientation regulation tax(100 million yuan),
Local Governments Revenue City Maintenance and Construction Tax(100 million yuan),157.30
Local Governments Revenue House Property Tax(100 million yuan),58.04
Local Governments Revenue Stamp Tax(100 million yuan),24.56
Local Governments Revenue Urban Land Use Tax(100 million yuan),73.62
Local Governments Revenue Land Appreciation Tax(100 million yuan),129.44
Local Governments Revenue Tax on Vehicles and Boat Operation(100 million yuan),22.01
Local Governments Revenue Vehicle Purchase Tax(100 million yuan),60.96
Local Governments Revenue Deed Tax(100 million yuan),220.42
Local Governments Revenue Tobacco Leaf Tax,8.88
Local Governments Revenue Other Tax Revenue(100 million yuan),
Local Governments Revenue Non-tax Revenue(100 million yuan),998.69
Local Governments Revenue Special Program Receipts(100 million yuan),175.44
Local Governments Revenue Charge of Administrative and Institutional Units(100 million yuan),133.38
Local Governments Revenue Penalty Receipts(100 million yuan),96.81
Local Governments Revenue State-owned Capital Income,9.27
Local Governments Revenue State-owned Resources(Assets) Paid-use Income,388.40
Local Governments Revenue Other Non-tax Receipts(100 million yuan),195.39
Local Governments General Budgetary Expenditure(100 million yuan),6869.39
Local Governments Expenditure General Public Services(100 million yuan),747.05
Local Governments Expenditure Foreign Affairs(100 million yuan),
Local Governments Expenditure National Defense(100 million yuan),12.93
Local Governments Expenditure Public Security(100 million yuan),371.77
Local Governments Expenditure Education(100 million yuan),1115.33
Local Governments Expenditure Science and Technology(100 million yuan),91.42
Local Governments Expenditure Culture Sport and Media(100 million yuan),148.83
Local Governments Expenditure Social Safety Net and Employment Effort(100 million yuan),1017.90
Local Governments Expenditure Medical and Health Care(100 million yuan),585.98
Local Governments Expenditure Environmental Protection(100 million yuan),173.28
Local Governments Expenditure Urban and Rural Community Affairs(100 million yuan),716.54
Local Governments Expenditure Agriculture forestry and Water Conservancy(100 million yuan),782.42
Local Governments Expenditure Transportation(100 million yuan),332.08
Local Governments Expenditure Affairs of Exploration Power and Information(100 million yuan),168.29
Local Governments Expenditure Affairs of Commerce and Services,56.56
Local Governments Expenditure Financial regulation(100 million yuan),12.47
Local Governments Expenditure Post-earthquake Recovery and Reconstruction,
Local Governments Expenditure Land Resources and Meteorology,96.01
Local Governments Expenditure Housing security,248.97
Local Governments Expenditure Affairs of Management of Grain and Oil Reserves(100 million yuan),28.96
Local Governments Expenditure Interest payment domestic and eign debts(100 million yuan),127.76
Local Governments Expenditure Other(100 million yuan),28.76
Note:1.The revenue of the local governments refers to the revenue collected by the local governments. It does not include the receipts of domestic and foreign debts.
¡¡¡¡¡¡2.Domestic value-added tax does not include value-added tax from imports.
"¡¡¡¡¡¡3.Before 2001, the corporate income tax only included state-owned and collective-owned enterprises income tax. Since 2001, the corporate income tax also includes the income tax levied on other enterprises except for state-owned and collective-owned enterprises, the figures are not comparable with the previous years."
¡¡¡¡¡¡4.The expenditure of the local governments refers to the expenditure disbursed by the local governments.Expenditures before 2000 does not include the payment on the principal and interest of domestic and foreign debts and the expenditure for capital construction using foreign loans.
Data Sources£ºNational Bureau of Statistics
