Database???Annual by Province
Region£ºJiangsu
Year£º2017
Indicators,2017
Local Governments General Budgetary Revenue(100 million yuan),8171.53
Local Governments Revenue Tax Revenue(100 million yuan),6484.33
Local Governments Revenue Domestic Value Added Tax(100 million yuan),2864.23
Local Governments Revenue Business Tax(100 million yuan),
Local Governments Revenue Corporate Income Tax(100 million yuan),1145.19
Local Governments Revenue Individual Income Tax(100 million yuan),386.82
Local Governments Revenue Resource Tax(100 million yuan),14.00
Local Governments Revenue Fixed assets investment orientation regulation tax(100 million yuan),
Local Governments Revenue City Maintenance and Construction Tax(100 million yuan),431.82
Local Governments Revenue House Property Tax(100 million yuan),291.19
Local Governments Revenue Stamp Tax(100 million yuan),95.90
Local Governments Revenue Urban Land Use Tax(100 million yuan),202.72
Local Governments Revenue Land Appreciation Tax(100 million yuan),458.93
Local Governments Revenue Tax on Vehicles and Boat Operation(100 million yuan),52.24
Local Governments Revenue Vehicle Purchase Tax(100 million yuan),53.00
Local Governments Revenue Deed Tax(100 million yuan),488.20
Local Governments Revenue Tobacco Leaf Tax,
Local Governments Revenue Other Tax Revenue(100 million yuan),0.09
Local Governments Revenue Non-tax Revenue(100 million yuan),1687.21
Local Governments Revenue Special Program Receipts(100 million yuan),493.05
Local Governments Revenue Charge of Administrative and Institutional Units(100 million yuan),420.51
Local Governments Revenue Penalty Receipts(100 million yuan),136.46
Local Governments Revenue State-owned Capital Income,
Local Governments Revenue State-owned Resources(Assets) Paid-use Income,465.89
Local Governments Revenue Other Non-tax Receipts(100 million yuan),171.29
Local Governments General Budgetary Expenditure(100 million yuan),10621.03
Local Governments Expenditure General Public Services(100 million yuan),1022.75
Local Governments Expenditure Foreign Affairs(100 million yuan),
Local Governments Expenditure National Defense(100 million yuan),17.10
Local Governments Expenditure Public Security(100 million yuan),717.07
Local Governments Expenditure Education(100 million yuan),1979.57
Local Governments Expenditure Science and Technology(100 million yuan),428.01
Local Governments Expenditure Culture Sport and Media(100 million yuan),194.37
Local Governments Expenditure Social Safety Net and Employment Effort(100 million yuan),1043.40
Local Governments Expenditure Medical and Health Care(100 million yuan),789.52
Local Governments Expenditure Environmental Protection(100 million yuan),292.10
Local Governments Expenditure Urban and Rural Community Affairs(100 million yuan),1500.54
Local Governments Expenditure Agriculture forestry and Water Conservancy(100 million yuan),918.22
Local Governments Expenditure Transportation(100 million yuan),482.13
Local Governments Expenditure Affairs of Exploration Power and Information(100 million yuan),347.58
Local Governments Expenditure Affairs of Commerce and Services,112.56
Local Governments Expenditure Financial regulation(100 million yuan),13.59
Local Governments Expenditure Post-earthquake Recovery and Reconstruction,
Local Governments Expenditure Land Resources and Meteorology,117.18
Local Governments Expenditure Housing security,351.81
Local Governments Expenditure Affairs of Management of Grain and Oil Reserves(100 million yuan),30.98
Local Governments Expenditure Interest payment domestic and eign debts(100 million yuan),157.02
Local Governments Expenditure Other(100 million yuan),64.31
Note:1.The revenue of the local governments refers to the revenue collected by the local governments. It does not include the receipts of domestic and foreign debts.
¡¡¡¡¡¡2.Domestic value-added tax does not include value-added tax from imports.
"¡¡¡¡¡¡3.Before 2001, the corporate income tax only included state-owned and collective-owned enterprises income tax. Since 2001, the corporate income tax also includes the income tax levied on other enterprises except for state-owned and collective-owned enterprises, the figures are not comparable with the previous years."
¡¡¡¡¡¡4.The expenditure of the local governments refers to the expenditure disbursed by the local governments.Expenditures before 2000 does not include the payment on the principal and interest of domestic and foreign debts and the expenditure for capital construction using foreign loans.
Data Sources£ºNational Bureau of Statistics
