Database???Annual by Province
Region£ºJiangxi
Year£º2017
Indicators,2017
Local Governments General Budgetary Revenue(100 million yuan),2247.06
Local Governments Revenue Tax Revenue(100 million yuan),1515.01
Local Governments Revenue Domestic Value Added Tax(100 million yuan),615.72
Local Governments Revenue Business Tax(100 million yuan),
Local Governments Revenue Corporate Income Tax(100 million yuan),182.23
Local Governments Revenue Individual Income Tax(100 million yuan),69.64
Local Governments Revenue Resource Tax(100 million yuan),59.64
Local Governments Revenue Fixed assets investment orientation regulation tax(100 million yuan),
Local Governments Revenue City Maintenance and Construction Tax(100 million yuan),89.34
Local Governments Revenue House Property Tax(100 million yuan),40.24
Local Governments Revenue Stamp Tax(100 million yuan),21.95
Local Governments Revenue Urban Land Use Tax(100 million yuan),55.48
Local Governments Revenue Land Appreciation Tax(100 million yuan),118.05
Local Governments Revenue Tax on Vehicles and Boat Operation(100 million yuan),13.93
Local Governments Revenue Vehicle Purchase Tax(100 million yuan),78.01
Local Governments Revenue Deed Tax(100 million yuan),168.18
Local Governments Revenue Tobacco Leaf Tax,2.60
Local Governments Revenue Other Tax Revenue(100 million yuan),
Local Governments Revenue Non-tax Revenue(100 million yuan),732.05
Local Governments Revenue Special Program Receipts(100 million yuan),122.88
Local Governments Revenue Charge of Administrative and Institutional Units(100 million yuan),175.98
Local Governments Revenue Penalty Receipts(100 million yuan),97.22
Local Governments Revenue State-owned Capital Income,3.12
Local Governments Revenue State-owned Resources(Assets) Paid-use Income,261.56
Local Governments Revenue Other Non-tax Receipts(100 million yuan),71.30
Local Governments General Budgetary Expenditure(100 million yuan),5111.47
Local Governments Expenditure General Public Services(100 million yuan),477.17
Local Governments Expenditure Foreign Affairs(100 million yuan),0.00
Local Governments Expenditure National Defense(100 million yuan),5.68
Local Governments Expenditure Public Security(100 million yuan),255.74
Local Governments Expenditure Education(100 million yuan),940.57
Local Governments Expenditure Science and Technology(100 million yuan),120.09
Local Governments Expenditure Culture Sport and Media(100 million yuan),74.65
Local Governments Expenditure Social Safety Net and Employment Effort(100 million yuan),663.93
Local Governments Expenditure Medical and Health Care(100 million yuan),492.59
Local Governments Expenditure Environmental Protection(100 million yuan),143.40
Local Governments Expenditure Urban and Rural Community Affairs(100 million yuan),516.06
Local Governments Expenditure Agriculture forestry and Water Conservancy(100 million yuan),607.71
Local Governments Expenditure Transportation(100 million yuan),228.91
Local Governments Expenditure Affairs of Exploration Power and Information(100 million yuan),215.80
Local Governments Expenditure Affairs of Commerce and Services,34.60
Local Governments Expenditure Financial regulation(100 million yuan),7.12
Local Governments Expenditure Post-earthquake Recovery and Reconstruction,
Local Governments Expenditure Land Resources and Meteorology,40.09
Local Governments Expenditure Housing security,151.04
Local Governments Expenditure Affairs of Management of Grain and Oil Reserves(100 million yuan),17.11
Local Governments Expenditure Interest payment domestic and eign debts(100 million yuan),57.57
Local Governments Expenditure Other(100 million yuan),57.87
Note:1.The revenue of the local governments refers to the revenue collected by the local governments. It does not include the receipts of domestic and foreign debts.
¡¡¡¡¡¡2.Domestic value-added tax does not include value-added tax from imports.
"¡¡¡¡¡¡3.Before 2001, the corporate income tax only included state-owned and collective-owned enterprises income tax. Since 2001, the corporate income tax also includes the income tax levied on other enterprises except for state-owned and collective-owned enterprises, the figures are not comparable with the previous years."
¡¡¡¡¡¡4.The expenditure of the local governments refers to the expenditure disbursed by the local governments.Expenditures before 2000 does not include the payment on the principal and interest of domestic and foreign debts and the expenditure for capital construction using foreign loans.
Data Sources£ºNational Bureau of Statistics
