Database???Annual by Province
Region£ºJilin
Year£º2017
Indicators,2017
Local Governments General Budgetary Revenue(100 million yuan),1210.91
Local Governments Revenue Tax Revenue(100 million yuan),854.03
Local Governments Revenue Domestic Value Added Tax(100 million yuan),371.40
Local Governments Revenue Business Tax(100 million yuan),
Local Governments Revenue Corporate Income Tax(100 million yuan),144.61
Local Governments Revenue Individual Income Tax(100 million yuan),46.35
Local Governments Revenue Resource Tax(100 million yuan),8.48
Local Governments Revenue Fixed assets investment orientation regulation tax(100 million yuan),
Local Governments Revenue City Maintenance and Construction Tax(100 million yuan),66.62
Local Governments Revenue House Property Tax(100 million yuan),33.33
Local Governments Revenue Stamp Tax(100 million yuan),13.86
Local Governments Revenue Urban Land Use Tax(100 million yuan),31.03
Local Governments Revenue Land Appreciation Tax(100 million yuan),31.03
Local Governments Revenue Tax on Vehicles and Boat Operation(100 million yuan),16.09
Local Governments Revenue Vehicle Purchase Tax(100 million yuan),19.83
Local Governments Revenue Deed Tax(100 million yuan),70.62
Local Governments Revenue Tobacco Leaf Tax,0.77
Local Governments Revenue Other Tax Revenue(100 million yuan),
Local Governments Revenue Non-tax Revenue(100 million yuan),356.88
Local Governments Revenue Special Program Receipts(100 million yuan),95.95
Local Governments Revenue Charge of Administrative and Institutional Units(100 million yuan),85.73
Local Governments Revenue Penalty Receipts(100 million yuan),33.85
Local Governments Revenue State-owned Capital Income,18.28
Local Governments Revenue State-owned Resources(Assets) Paid-use Income,86.88
Local Governments Revenue Other Non-tax Receipts(100 million yuan),36.19
Local Governments General Budgetary Expenditure(100 million yuan),3725.72
Local Governments Expenditure General Public Services(100 million yuan),294.50
Local Governments Expenditure Foreign Affairs(100 million yuan),
Local Governments Expenditure National Defense(100 million yuan),5.06
Local Governments Expenditure Public Security(100 million yuan),212.44
Local Governments Expenditure Education(100 million yuan),508.09
Local Governments Expenditure Science and Technology(100 million yuan),46.84
Local Governments Expenditure Culture Sport and Media(100 million yuan),70.69
Local Governments Expenditure Social Safety Net and Employment Effort(100 million yuan),550.80
Local Governments Expenditure Medical and Health Care(100 million yuan),279.22
Local Governments Expenditure Environmental Protection(100 million yuan),115.12
Local Governments Expenditure Urban and Rural Community Affairs(100 million yuan),394.45
Local Governments Expenditure Agriculture forestry and Water Conservancy(100 million yuan),554.77
Local Governments Expenditure Transportation(100 million yuan),257.33
Local Governments Expenditure Affairs of Exploration Power and Information(100 million yuan),88.50
Local Governments Expenditure Affairs of Commerce and Services,31.14
Local Governments Expenditure Financial regulation(100 million yuan),6.94
Local Governments Expenditure Post-earthquake Recovery and Reconstruction,
Local Governments Expenditure Land Resources and Meteorology,67.88
Local Governments Expenditure Housing security,128.04
Local Governments Expenditure Affairs of Management of Grain and Oil Reserves(100 million yuan),48.73
Local Governments Expenditure Interest payment domestic and eign debts(100 million yuan),55.36
Local Governments Expenditure Other(100 million yuan),6.52
Note:1.The revenue of the local governments refers to the revenue collected by the local governments. It does not include the receipts of domestic and foreign debts.
¡¡¡¡¡¡2.Domestic value-added tax does not include value-added tax from imports.
"¡¡¡¡¡¡3.Before 2001, the corporate income tax only included state-owned and collective-owned enterprises income tax. Since 2001, the corporate income tax also includes the income tax levied on other enterprises except for state-owned and collective-owned enterprises, the figures are not comparable with the previous years."
¡¡¡¡¡¡4.The expenditure of the local governments refers to the expenditure disbursed by the local governments.Expenditures before 2000 does not include the payment on the principal and interest of domestic and foreign debts and the expenditure for capital construction using foreign loans.
Data Sources£ºNational Bureau of Statistics
