Database???Annual by Province
Region£ºLiaoning
Year£º2017
Indicators,2017
Local Governments General Budgetary Revenue(100 million yuan),2392.77
Local Governments Revenue Tax Revenue(100 million yuan),1812.42
Local Governments Revenue Domestic Value Added Tax(100 million yuan),785.76
Local Governments Revenue Business Tax(100 million yuan),
Local Governments Revenue Corporate Income Tax(100 million yuan),278.41
Local Governments Revenue Individual Income Tax(100 million yuan),90.41
Local Governments Revenue Resource Tax(100 million yuan),42.28
Local Governments Revenue Fixed assets investment orientation regulation tax(100 million yuan),
Local Governments Revenue City Maintenance and Construction Tax(100 million yuan),129.77
Local Governments Revenue House Property Tax(100 million yuan),95.22
Local Governments Revenue Stamp Tax(100 million yuan),31.44
Local Governments Revenue Urban Land Use Tax(100 million yuan),139.10
Local Governments Revenue Land Appreciation Tax(100 million yuan),65.74
Local Governments Revenue Tax on Vehicles and Boat Operation(100 million yuan),34.31
Local Governments Revenue Vehicle Purchase Tax(100 million yuan),13.27
Local Governments Revenue Deed Tax(100 million yuan),105.42
Local Governments Revenue Tobacco Leaf Tax,1.28
Local Governments Revenue Other Tax Revenue(100 million yuan),
Local Governments Revenue Non-tax Revenue(100 million yuan),580.35
Local Governments Revenue Special Program Receipts(100 million yuan),149.18
Local Governments Revenue Charge of Administrative and Institutional Units(100 million yuan),120.67
Local Governments Revenue Penalty Receipts(100 million yuan),106.76
Local Governments Revenue State-owned Capital Income,5.10
Local Governments Revenue State-owned Resources(Assets) Paid-use Income,153.51
Local Governments Revenue Other Non-tax Receipts(100 million yuan),45.13
Local Governments General Budgetary Expenditure(100 million yuan),4879.42
Local Governments Expenditure General Public Services(100 million yuan),386.04
Local Governments Expenditure Foreign Affairs(100 million yuan),
Local Governments Expenditure National Defense(100 million yuan),6.14
Local Governments Expenditure Public Security(100 million yuan),301.66
Local Governments Expenditure Education(100 million yuan),648.06
Local Governments Expenditure Science and Technology(100 million yuan),57.38
Local Governments Expenditure Culture Sport and Media(100 million yuan),86.44
Local Governments Expenditure Social Safety Net and Employment Effort(100 million yuan),1340.54
Local Governments Expenditure Medical and Health Care(100 million yuan),336.63
Local Governments Expenditure Environmental Protection(100 million yuan),106.53
Local Governments Expenditure Urban and Rural Community Affairs(100 million yuan),409.64
Local Governments Expenditure Agriculture forestry and Water Conservancy(100 million yuan),459.23
Local Governments Expenditure Transportation(100 million yuan),215.16
Local Governments Expenditure Affairs of Exploration Power and Information(100 million yuan),105.90
Local Governments Expenditure Affairs of Commerce and Services,31.77
Local Governments Expenditure Financial regulation(100 million yuan),2.18
Local Governments Expenditure Post-earthquake Recovery and Reconstruction,
Local Governments Expenditure Land Resources and Meteorology,45.78
Local Governments Expenditure Housing security,124.77
Local Governments Expenditure Affairs of Management of Grain and Oil Reserves(100 million yuan),21.89
Local Governments Expenditure Interest payment domestic and eign debts(100 million yuan),152.18
Local Governments Expenditure Other(100 million yuan),28.73
Note:1.The revenue of the local governments refers to the revenue collected by the local governments. It does not include the receipts of domestic and foreign debts.
¡¡¡¡¡¡2.Domestic value-added tax does not include value-added tax from imports.
"¡¡¡¡¡¡3.Before 2001, the corporate income tax only included state-owned and collective-owned enterprises income tax. Since 2001, the corporate income tax also includes the income tax levied on other enterprises except for state-owned and collective-owned enterprises, the figures are not comparable with the previous years."
¡¡¡¡¡¡4.The expenditure of the local governments refers to the expenditure disbursed by the local governments.Expenditures before 2000 does not include the payment on the principal and interest of domestic and foreign debts and the expenditure for capital construction using foreign loans.
Data Sources£ºNational Bureau of Statistics
