Database???Annual by Province
Region£ºQinghai
Year£º2017
Indicators,2017
Local Governments General Budgetary Revenue(100 million yuan),246.20
Local Governments Revenue Tax Revenue(100 million yuan),183.96
Local Governments Revenue Domestic Value Added Tax(100 million yuan),89.36
Local Governments Revenue Business Tax(100 million yuan),
Local Governments Revenue Corporate Income Tax(100 million yuan),23.25
Local Governments Revenue Individual Income Tax(100 million yuan),8.96
Local Governments Revenue Resource Tax(100 million yuan),18.57
Local Governments Revenue Fixed assets investment orientation regulation tax(100 million yuan),
Local Governments Revenue City Maintenance and Construction Tax(100 million yuan),12.19
Local Governments Revenue House Property Tax(100 million yuan),6.53
Local Governments Revenue Stamp Tax(100 million yuan),3.57
Local Governments Revenue Urban Land Use Tax(100 million yuan),4.58
Local Governments Revenue Land Appreciation Tax(100 million yuan),4.60
Local Governments Revenue Tax on Vehicles and Boat Operation(100 million yuan),2.73
Local Governments Revenue Vehicle Purchase Tax(100 million yuan),5.03
Local Governments Revenue Deed Tax(100 million yuan),4.60
Local Governments Revenue Tobacco Leaf Tax,
Local Governments Revenue Other Tax Revenue(100 million yuan),
Local Governments Revenue Non-tax Revenue(100 million yuan),62.23
Local Governments Revenue Special Program Receipts(100 million yuan),15.58
Local Governments Revenue Charge of Administrative and Institutional Units(100 million yuan),9.23
Local Governments Revenue Penalty Receipts(100 million yuan),6.41
Local Governments Revenue State-owned Capital Income,0.73
Local Governments Revenue State-owned Resources(Assets) Paid-use Income,25.15
Local Governments Revenue Other Non-tax Receipts(100 million yuan),5.14
Local Governments General Budgetary Expenditure(100 million yuan),1530.44
Local Governments Expenditure General Public Services(100 million yuan),123.85
Local Governments Expenditure Foreign Affairs(100 million yuan),
Local Governments Expenditure National Defense(100 million yuan),0.99
Local Governments Expenditure Public Security(100 million yuan),90.04
Local Governments Expenditure Education(100 million yuan),187.51
Local Governments Expenditure Science and Technology(100 million yuan),11.94
Local Governments Expenditure Culture Sport and Media(100 million yuan),37.58
Local Governments Expenditure Social Safety Net and Employment Effort(100 million yuan),209.57
Local Governments Expenditure Medical and Health Care(100 million yuan),125.21
Local Governments Expenditure Environmental Protection(100 million yuan),60.93
Local Governments Expenditure Urban and Rural Community Affairs(100 million yuan),137.00
Local Governments Expenditure Agriculture forestry and Water Conservancy(100 million yuan),233.12
Local Governments Expenditure Transportation(100 million yuan),95.38
Local Governments Expenditure Affairs of Exploration Power and Information(100 million yuan),36.35
Local Governments Expenditure Affairs of Commerce and Services,17.70
Local Governments Expenditure Financial regulation(100 million yuan),2.88
Local Governments Expenditure Post-earthquake Recovery and Reconstruction,
Local Governments Expenditure Land Resources and Meteorology,39.10
Local Governments Expenditure Housing security,67.32
Local Governments Expenditure Affairs of Management of Grain and Oil Reserves(100 million yuan),5.41
Local Governments Expenditure Interest payment domestic and eign debts(100 million yuan),42.43
Local Governments Expenditure Other(100 million yuan),5.38
Note:1.The revenue of the local governments refers to the revenue collected by the local governments. It does not include the receipts of domestic and foreign debts.
¡¡¡¡¡¡2.Domestic value-added tax does not include value-added tax from imports.
"¡¡¡¡¡¡3.Before 2001, the corporate income tax only included state-owned and collective-owned enterprises income tax. Since 2001, the corporate income tax also includes the income tax levied on other enterprises except for state-owned and collective-owned enterprises, the figures are not comparable with the previous years."
¡¡¡¡¡¡4.The expenditure of the local governments refers to the expenditure disbursed by the local governments.Expenditures before 2000 does not include the payment on the principal and interest of domestic and foreign debts and the expenditure for capital construction using foreign loans.
Data Sources£ºNational Bureau of Statistics
