Database???Annual by Province
Region£ºShanghai
Year£º2017
Indicators,2017
Local Governments General Budgetary Revenue(100 million yuan),6642.26
Local Governments Revenue Tax Revenue(100 million yuan),5865.51
Local Governments Revenue Domestic Value Added Tax(100 million yuan),2460.39
Local Governments Revenue Business Tax(100 million yuan),
Local Governments Revenue Corporate Income Tax(100 million yuan),1402.30
Local Governments Revenue Individual Income Tax(100 million yuan),692.46
Local Governments Revenue Resource Tax(100 million yuan),0.01
Local Governments Revenue Fixed assets investment orientation regulation tax(100 million yuan),
Local Governments Revenue City Maintenance and Construction Tax(100 million yuan),271.56
Local Governments Revenue House Property Tax(100 million yuan),203.69
Local Governments Revenue Stamp Tax(100 million yuan),94.90
Local Governments Revenue Urban Land Use Tax(100 million yuan),47.58
Local Governments Revenue Land Appreciation Tax(100 million yuan),387.73
Local Governments Revenue Tax on Vehicles and Boat Operation(100 million yuan),27.46
Local Governments Revenue Vehicle Purchase Tax(100 million yuan),5.89
Local Governments Revenue Deed Tax(100 million yuan),271.55
Local Governments Revenue Tobacco Leaf Tax,
Local Governments Revenue Other Tax Revenue(100 million yuan),
Local Governments Revenue Non-tax Revenue(100 million yuan),776.75
Local Governments Revenue Special Program Receipts(100 million yuan),344.29
Local Governments Revenue Charge of Administrative and Institutional Units(100 million yuan),100.81
Local Governments Revenue Penalty Receipts(100 million yuan),61.51
Local Governments Revenue State-owned Capital Income,
Local Governments Revenue State-owned Resources(Assets) Paid-use Income,234.21
Local Governments Revenue Other Non-tax Receipts(100 million yuan),35.93
Local Governments General Budgetary Expenditure(100 million yuan),7547.62
Local Governments Expenditure General Public Services(100 million yuan),320.70
Local Governments Expenditure Foreign Affairs(100 million yuan),
Local Governments Expenditure National Defense(100 million yuan),9.75
Local Governments Expenditure Public Security(100 million yuan),356.12
Local Governments Expenditure Education(100 million yuan),874.10
Local Governments Expenditure Science and Technology(100 million yuan),389.90
Local Governments Expenditure Culture Sport and Media(100 million yuan),191.32
Local Governments Expenditure Social Safety Net and Employment Effort(100 million yuan),1061.03
Local Governments Expenditure Medical and Health Care(100 million yuan),412.18
Local Governments Expenditure Environmental Protection(100 million yuan),224.66
Local Governments Expenditure Urban and Rural Community Affairs(100 million yuan),1531.42
Local Governments Expenditure Agriculture forestry and Water Conservancy(100 million yuan),456.53
Local Governments Expenditure Transportation(100 million yuan),428.84
Local Governments Expenditure Affairs of Exploration Power and Information(100 million yuan),566.79
Local Governments Expenditure Affairs of Commerce and Services,141.27
Local Governments Expenditure Financial regulation(100 million yuan),26.37
Local Governments Expenditure Post-earthquake Recovery and Reconstruction,
Local Governments Expenditure Land Resources and Meteorology,81.99
Local Governments Expenditure Housing security,286.01
Local Governments Expenditure Affairs of Management of Grain and Oil Reserves(100 million yuan),18.15
Local Governments Expenditure Interest payment domestic and eign debts(100 million yuan),69.15
Local Governments Expenditure Other(100 million yuan),56.02
Note:1.The revenue of the local governments refers to the revenue collected by the local governments. It does not include the receipts of domestic and foreign debts.
¡¡¡¡¡¡2.Domestic value-added tax does not include value-added tax from imports.
"¡¡¡¡¡¡3.Before 2001, the corporate income tax only included state-owned and collective-owned enterprises income tax. Since 2001, the corporate income tax also includes the income tax levied on other enterprises except for state-owned and collective-owned enterprises, the figures are not comparable with the previous years."
¡¡¡¡¡¡4.The expenditure of the local governments refers to the expenditure disbursed by the local governments.Expenditures before 2000 does not include the payment on the principal and interest of domestic and foreign debts and the expenditure for capital construction using foreign loans.
Data Sources£ºNational Bureau of Statistics
