Database???Annual by Province
Region£ºShaanxi
Year£º2017
Indicators,2017
Local Governments General Budgetary Revenue(100 million yuan),2006.69
Local Governments Revenue Tax Revenue(100 million yuan),1485.58
Local Governments Revenue Domestic Value Added Tax(100 million yuan),690.85
Local Governments Revenue Business Tax(100 million yuan),
Local Governments Revenue Corporate Income Tax(100 million yuan),176.54
Local Governments Revenue Individual Income Tax(100 million yuan),79.05
Local Governments Revenue Resource Tax(100 million yuan),144.66
Local Governments Revenue Fixed assets investment orientation regulation tax(100 million yuan),
Local Governments Revenue City Maintenance and Construction Tax(100 million yuan),100.36
Local Governments Revenue House Property Tax(100 million yuan),44.72
Local Governments Revenue Stamp Tax(100 million yuan),23.91
Local Governments Revenue Urban Land Use Tax(100 million yuan),36.71
Local Governments Revenue Land Appreciation Tax(100 million yuan),44.82
Local Governments Revenue Tax on Vehicles and Boat Operation(100 million yuan),19.01
Local Governments Revenue Vehicle Purchase Tax(100 million yuan),51.15
Local Governments Revenue Deed Tax(100 million yuan),72.56
Local Governments Revenue Tobacco Leaf Tax,1.24
Local Governments Revenue Other Tax Revenue(100 million yuan),
Local Governments Revenue Non-tax Revenue(100 million yuan),521.11
Local Governments Revenue Special Program Receipts(100 million yuan),159.59
Local Governments Revenue Charge of Administrative and Institutional Units(100 million yuan),103.17
Local Governments Revenue Penalty Receipts(100 million yuan),41.60
Local Governments Revenue State-owned Capital Income,32.57
Local Governments Revenue State-owned Resources(Assets) Paid-use Income,136.18
Local Governments Revenue Other Non-tax Receipts(100 million yuan),48.00
Local Governments General Budgetary Expenditure(100 million yuan),4833.19
Local Governments Expenditure General Public Services(100 million yuan),417.34
Local Governments Expenditure Foreign Affairs(100 million yuan),
Local Governments Expenditure National Defense(100 million yuan),4.45
Local Governments Expenditure Public Security(100 million yuan),241.82
Local Governments Expenditure Education(100 million yuan),828.25
Local Governments Expenditure Science and Technology(100 million yuan),79.34
Local Governments Expenditure Culture Sport and Media(100 million yuan),121.95
Local Governments Expenditure Social Safety Net and Employment Effort(100 million yuan),718.22
Local Governments Expenditure Medical and Health Care(100 million yuan),418.27
Local Governments Expenditure Environmental Protection(100 million yuan),162.52
Local Governments Expenditure Urban and Rural Community Affairs(100 million yuan),477.73
Local Governments Expenditure Agriculture forestry and Water Conservancy(100 million yuan),545.40
Local Governments Expenditure Transportation(100 million yuan),304.03
Local Governments Expenditure Affairs of Exploration Power and Information(100 million yuan),93.46
Local Governments Expenditure Affairs of Commerce and Services,42.78
Local Governments Expenditure Financial regulation(100 million yuan),17.67
Local Governments Expenditure Post-earthquake Recovery and Reconstruction,
Local Governments Expenditure Land Resources and Meteorology,53.15
Local Governments Expenditure Housing security,199.36
Local Governments Expenditure Affairs of Management of Grain and Oil Reserves(100 million yuan),18.30
Local Governments Expenditure Interest payment domestic and eign debts(100 million yuan),72.40
Local Governments Expenditure Other(100 million yuan),14.63
Note:1.The revenue of the local governments refers to the revenue collected by the local governments. It does not include the receipts of domestic and foreign debts.
¡¡¡¡¡¡2.Domestic value-added tax does not include value-added tax from imports.
"¡¡¡¡¡¡3.Before 2001, the corporate income tax only included state-owned and collective-owned enterprises income tax. Since 2001, the corporate income tax also includes the income tax levied on other enterprises except for state-owned and collective-owned enterprises, the figures are not comparable with the previous years."
¡¡¡¡¡¡4.The expenditure of the local governments refers to the expenditure disbursed by the local governments.Expenditures before 2000 does not include the payment on the principal and interest of domestic and foreign debts and the expenditure for capital construction using foreign loans.
Data Sources£ºNational Bureau of Statistics
