Database???Annual by Province
Region£ºShanxi
Year£º2017
Indicators,2017
Local Governments General Budgetary Revenue(100 million yuan),1867.00
Local Governments Revenue Tax Revenue(100 million yuan),1397.43
Local Governments Revenue Domestic Value Added Tax(100 million yuan),623.11
Local Governments Revenue Business Tax(100 million yuan),
Local Governments Revenue Corporate Income Tax(100 million yuan),174.42
Local Governments Revenue Individual Income Tax(100 million yuan),47.90
Local Governments Revenue Resource Tax(100 million yuan),272.69
Local Governments Revenue Fixed assets investment orientation regulation tax(100 million yuan),
Local Governments Revenue City Maintenance and Construction Tax(100 million yuan),69.76
Local Governments Revenue House Property Tax(100 million yuan),34.39
Local Governments Revenue Stamp Tax(100 million yuan),24.07
Local Governments Revenue Urban Land Use Tax(100 million yuan),35.59
Local Governments Revenue Land Appreciation Tax(100 million yuan),43.63
Local Governments Revenue Tax on Vehicles and Boat Operation(100 million yuan),20.84
Local Governments Revenue Vehicle Purchase Tax(100 million yuan),12.08
Local Governments Revenue Deed Tax(100 million yuan),38.68
Local Governments Revenue Tobacco Leaf Tax,0.26
Local Governments Revenue Other Tax Revenue(100 million yuan),
Local Governments Revenue Non-tax Revenue(100 million yuan),469.57
Local Governments Revenue Special Program Receipts(100 million yuan),115.86
Local Governments Revenue Charge of Administrative and Institutional Units(100 million yuan),78.92
Local Governments Revenue Penalty Receipts(100 million yuan),43.28
Local Governments Revenue State-owned Capital Income,3.63
Local Governments Revenue State-owned Resources(Assets) Paid-use Income,176.60
Local Governments Revenue Other Non-tax Receipts(100 million yuan),51.28
Local Governments General Budgetary Expenditure(100 million yuan),3756.42
Local Governments Expenditure General Public Services(100 million yuan),314.07
Local Governments Expenditure Foreign Affairs(100 million yuan),
Local Governments Expenditure National Defense(100 million yuan),3.67
Local Governments Expenditure Public Security(100 million yuan),216.00
Local Governments Expenditure Education(100 million yuan),620.67
Local Governments Expenditure Science and Technology(100 million yuan),50.25
Local Governments Expenditure Culture Sport and Media(100 million yuan),71.92
Local Governments Expenditure Social Safety Net and Employment Effort(100 million yuan),646.63
Local Governments Expenditure Medical and Health Care(100 million yuan),321.34
Local Governments Expenditure Environmental Protection(100 million yuan),128.87
Local Governments Expenditure Urban and Rural Community Affairs(100 million yuan),281.91
Local Governments Expenditure Agriculture forestry and Water Conservancy(100 million yuan),477.91
Local Governments Expenditure Transportation(100 million yuan),164.79
Local Governments Expenditure Affairs of Exploration Power and Information(100 million yuan),73.01
Local Governments Expenditure Affairs of Commerce and Services,19.52
Local Governments Expenditure Financial regulation(100 million yuan),7.19
Local Governments Expenditure Post-earthquake Recovery and Reconstruction,
Local Governments Expenditure Land Resources and Meteorology,119.96
Local Governments Expenditure Housing security,138.19
Local Governments Expenditure Affairs of Management of Grain and Oil Reserves(100 million yuan),16.83
Local Governments Expenditure Interest payment domestic and eign debts(100 million yuan),42.41
Local Governments Expenditure Other(100 million yuan),38.18
Note:1.The revenue of the local governments refers to the revenue collected by the local governments. It does not include the receipts of domestic and foreign debts.
¡¡¡¡¡¡2.Domestic value-added tax does not include value-added tax from imports.
"¡¡¡¡¡¡3.Before 2001, the corporate income tax only included state-owned and collective-owned enterprises income tax. Since 2001, the corporate income tax also includes the income tax levied on other enterprises except for state-owned and collective-owned enterprises, the figures are not comparable with the previous years."
¡¡¡¡¡¡4.The expenditure of the local governments refers to the expenditure disbursed by the local governments.Expenditures before 2000 does not include the payment on the principal and interest of domestic and foreign debts and the expenditure for capital construction using foreign loans.
Data Sources£ºNational Bureau of Statistics
