Database???Annual by Province
Region£ºSichuan
Year£º2017
Indicators,2017
Local Governments General Budgetary Revenue(100 million yuan),3577.99
Local Governments Revenue Tax Revenue(100 million yuan),2430.32
Local Governments Revenue Domestic Value Added Tax(100 million yuan),1010.19
Local Governments Revenue Business Tax(100 million yuan),
Local Governments Revenue Corporate Income Tax(100 million yuan),359.38
Local Governments Revenue Individual Income Tax(100 million yuan),152.74
Local Governments Revenue Resource Tax(100 million yuan),30.41
Local Governments Revenue Fixed assets investment orientation regulation tax(100 million yuan),
Local Governments Revenue City Maintenance and Construction Tax(100 million yuan),150.59
Local Governments Revenue House Property Tax(100 million yuan),88.66
Local Governments Revenue Stamp Tax(100 million yuan),38.25
Local Governments Revenue Urban Land Use Tax(100 million yuan),72.05
Local Governments Revenue Land Appreciation Tax(100 million yuan),172.19
Local Governments Revenue Tax on Vehicles and Boat Operation(100 million yuan),32.88
Local Governments Revenue Vehicle Purchase Tax(100 million yuan),105.12
Local Governments Revenue Deed Tax(100 million yuan),209.95
Local Governments Revenue Tobacco Leaf Tax,7.90
Local Governments Revenue Other Tax Revenue(100 million yuan),
Local Governments Revenue Non-tax Revenue(100 million yuan),1147.66
Local Governments Revenue Special Program Receipts(100 million yuan),222.75
Local Governments Revenue Charge of Administrative and Institutional Units(100 million yuan),211.32
Local Governments Revenue Penalty Receipts(100 million yuan),78.41
Local Governments Revenue State-owned Capital Income,38.85
Local Governments Revenue State-owned Resources(Assets) Paid-use Income,422.45
Local Governments Revenue Other Non-tax Receipts(100 million yuan),173.89
Local Governments General Budgetary Expenditure(100 million yuan),8694.76
Local Governments Expenditure General Public Services(100 million yuan),793.30
Local Governments Expenditure Foreign Affairs(100 million yuan),0.02
Local Governments Expenditure National Defense(100 million yuan),11.43
Local Governments Expenditure Public Security(100 million yuan),471.42
Local Governments Expenditure Education(100 million yuan),1389.20
Local Governments Expenditure Science and Technology(100 million yuan),106.57
Local Governments Expenditure Culture Sport and Media(100 million yuan),142.46
Local Governments Expenditure Social Safety Net and Employment Effort(100 million yuan),1501.35
Local Governments Expenditure Medical and Health Care(100 million yuan),831.46
Local Governments Expenditure Environmental Protection(100 million yuan),197.75
Local Governments Expenditure Urban and Rural Community Affairs(100 million yuan),724.79
Local Governments Expenditure Agriculture forestry and Water Conservancy(100 million yuan),1023.13
Local Governments Expenditure Transportation(100 million yuan),526.68
Local Governments Expenditure Affairs of Exploration Power and Information(100 million yuan),300.43
Local Governments Expenditure Affairs of Commerce and Services,81.21
Local Governments Expenditure Financial regulation(100 million yuan),14.13
Local Governments Expenditure Post-earthquake Recovery and Reconstruction,
Local Governments Expenditure Land Resources and Meteorology,80.35
Local Governments Expenditure Housing security,325.16
Local Governments Expenditure Affairs of Management of Grain and Oil Reserves(100 million yuan),32.41
Local Governments Expenditure Interest payment domestic and eign debts(100 million yuan),96.89
Local Governments Expenditure Other(100 million yuan),38.20
Note:1.The revenue of the local governments refers to the revenue collected by the local governments. It does not include the receipts of domestic and foreign debts.
¡¡¡¡¡¡2.Domestic value-added tax does not include value-added tax from imports.
"¡¡¡¡¡¡3.Before 2001, the corporate income tax only included state-owned and collective-owned enterprises income tax. Since 2001, the corporate income tax also includes the income tax levied on other enterprises except for state-owned and collective-owned enterprises, the figures are not comparable with the previous years."
¡¡¡¡¡¡4.The expenditure of the local governments refers to the expenditure disbursed by the local governments.Expenditures before 2000 does not include the payment on the principal and interest of domestic and foreign debts and the expenditure for capital construction using foreign loans.
Data Sources£ºNational Bureau of Statistics
