Database???Annual by Province
Region£ºTianjin
Year£º2017
Indicators,2017
Local Governments General Budgetary Revenue(100 million yuan),2310.36
Local Governments Revenue Tax Revenue(100 million yuan),1611.96
Local Governments Revenue Domestic Value Added Tax(100 million yuan),654.54
Local Governments Revenue Business Tax(100 million yuan),
Local Governments Revenue Corporate Income Tax(100 million yuan),310.14
Local Governments Revenue Individual Income Tax(100 million yuan),116.51
Local Governments Revenue Resource Tax(100 million yuan),2.56
Local Governments Revenue Fixed assets investment orientation regulation tax(100 million yuan),
Local Governments Revenue City Maintenance and Construction Tax(100 million yuan),97.26
Local Governments Revenue House Property Tax(100 million yuan),76.45
Local Governments Revenue Stamp Tax(100 million yuan),36.34
Local Governments Revenue Urban Land Use Tax(100 million yuan),18.59
Local Governments Revenue Land Appreciation Tax(100 million yuan),126.60
Local Governments Revenue Tax on Vehicles and Boat Operation(100 million yuan),11.15
Local Governments Revenue Vehicle Purchase Tax(100 million yuan),10.82
Local Governments Revenue Deed Tax(100 million yuan),151.00
Local Governments Revenue Tobacco Leaf Tax,
Local Governments Revenue Other Tax Revenue(100 million yuan),
Local Governments Revenue Non-tax Revenue(100 million yuan),698.40
Local Governments Revenue Special Program Receipts(100 million yuan),293.77
Local Governments Revenue Charge of Administrative and Institutional Units(100 million yuan),181.02
Local Governments Revenue Penalty Receipts(100 million yuan),35.78
Local Governments Revenue State-owned Capital Income,7.64
Local Governments Revenue State-owned Resources(Assets) Paid-use Income,82.05
Local Governments Revenue Other Non-tax Receipts(100 million yuan),98.14
Local Governments General Budgetary Expenditure(100 million yuan),3282.54
Local Governments Expenditure General Public Services(100 million yuan),209.02
Local Governments Expenditure Foreign Affairs(100 million yuan),
Local Governments Expenditure National Defense(100 million yuan),3.59
Local Governments Expenditure Public Security(100 million yuan),207.42
Local Governments Expenditure Education(100 million yuan),434.59
Local Governments Expenditure Science and Technology(100 million yuan),115.99
Local Governments Expenditure Culture Sport and Media(100 million yuan),57.94
Local Governments Expenditure Social Safety Net and Employment Effort(100 million yuan),459.58
Local Governments Expenditure Medical and Health Care(100 million yuan),182.10
Local Governments Expenditure Environmental Protection(100 million yuan),110.22
Local Governments Expenditure Urban and Rural Community Affairs(100 million yuan),882.35
Local Governments Expenditure Agriculture forestry and Water Conservancy(100 million yuan),158.36
Local Governments Expenditure Transportation(100 million yuan),87.69
Local Governments Expenditure Affairs of Exploration Power and Information(100 million yuan),123.50
Local Governments Expenditure Affairs of Commerce and Services,53.44
Local Governments Expenditure Financial regulation(100 million yuan),5.52
Local Governments Expenditure Post-earthquake Recovery and Reconstruction,
Local Governments Expenditure Land Resources and Meteorology,21.92
Local Governments Expenditure Housing security,64.08
Local Governments Expenditure Affairs of Management of Grain and Oil Reserves(100 million yuan),5.82
Local Governments Expenditure Interest payment domestic and eign debts(100 million yuan),30.02
Local Governments Expenditure Other(100 million yuan),53.20
Note:1.The revenue of the local governments refers to the revenue collected by the local governments. It does not include the receipts of domestic and foreign debts.
¡¡¡¡¡¡2.Domestic value-added tax does not include value-added tax from imports.
"¡¡¡¡¡¡3.Before 2001, the corporate income tax only included state-owned and collective-owned enterprises income tax. Since 2001, the corporate income tax also includes the income tax levied on other enterprises except for state-owned and collective-owned enterprises, the figures are not comparable with the previous years."
¡¡¡¡¡¡4.The expenditure of the local governments refers to the expenditure disbursed by the local governments.Expenditures before 2000 does not include the payment on the principal and interest of domestic and foreign debts and the expenditure for capital construction using foreign loans.
Data Sources£ºNational Bureau of Statistics
