Database???Annual by Province
Region£ºXinjiang
Year£º2017
Indicators,2017
Local Governments General Budgetary Revenue(100 million yuan),1466.52
Local Governments Revenue Tax Revenue(100 million yuan),944.38
Local Governments Revenue Domestic Value Added Tax(100 million yuan),409.15
Local Governments Revenue Business Tax(100 million yuan),
Local Governments Revenue Corporate Income Tax(100 million yuan),114.27
Local Governments Revenue Individual Income Tax(100 million yuan),64.78
Local Governments Revenue Resource Tax(100 million yuan),69.06
Local Governments Revenue Fixed assets investment orientation regulation tax(100 million yuan),
Local Governments Revenue City Maintenance and Construction Tax(100 million yuan),59.88
Local Governments Revenue House Property Tax(100 million yuan),37.12
Local Governments Revenue Stamp Tax(100 million yuan),16.51
Local Governments Revenue Urban Land Use Tax(100 million yuan),43.39
Local Governments Revenue Land Appreciation Tax(100 million yuan),33.26
Local Governments Revenue Tax on Vehicles and Boat Operation(100 million yuan),14.79
Local Governments Revenue Vehicle Purchase Tax(100 million yuan),48.28
Local Governments Revenue Deed Tax(100 million yuan),33.89
Local Governments Revenue Tobacco Leaf Tax,
Local Governments Revenue Other Tax Revenue(100 million yuan),
Local Governments Revenue Non-tax Revenue(100 million yuan),522.14
Local Governments Revenue Special Program Receipts(100 million yuan),123.32
Local Governments Revenue Charge of Administrative and Institutional Units(100 million yuan),74.76
Local Governments Revenue Penalty Receipts(100 million yuan),35.85
Local Governments Revenue State-owned Capital Income,18.46
Local Governments Revenue State-owned Resources(Assets) Paid-use Income,232.69
Local Governments Revenue Other Non-tax Receipts(100 million yuan),37.06
Local Governments General Budgetary Expenditure(100 million yuan),4637.24
Local Governments Expenditure General Public Services(100 million yuan),433.47
Local Governments Expenditure Foreign Affairs(100 million yuan),0.38
Local Governments Expenditure National Defense(100 million yuan),6.38
Local Governments Expenditure Public Security(100 million yuan),576.39
Local Governments Expenditure Education(100 million yuan),722.59
Local Governments Expenditure Science and Technology(100 million yuan),42.81
Local Governments Expenditure Culture Sport and Media(100 million yuan),80.40
Local Governments Expenditure Social Safety Net and Employment Effort(100 million yuan),526.00
Local Governments Expenditure Medical and Health Care(100 million yuan),266.71
Local Governments Expenditure Environmental Protection(100 million yuan),54.66
Local Governments Expenditure Urban and Rural Community Affairs(100 million yuan),329.30
Local Governments Expenditure Agriculture forestry and Water Conservancy(100 million yuan),612.49
Local Governments Expenditure Transportation(100 million yuan),261.90
Local Governments Expenditure Affairs of Exploration Power and Information(100 million yuan),236.52
Local Governments Expenditure Affairs of Commerce and Services,36.32
Local Governments Expenditure Financial regulation(100 million yuan),4.43
Local Governments Expenditure Post-earthquake Recovery and Reconstruction,
Local Governments Expenditure Land Resources and Meteorology,49.59
Local Governments Expenditure Housing security,234.48
Local Governments Expenditure Affairs of Management of Grain and Oil Reserves(100 million yuan),10.48
Local Governments Expenditure Interest payment domestic and eign debts(100 million yuan),85.09
Local Governments Expenditure Other(100 million yuan),65.94
Note:1.The revenue of the local governments refers to the revenue collected by the local governments. It does not include the receipts of domestic and foreign debts.
¡¡¡¡¡¡2.Domestic value-added tax does not include value-added tax from imports.
"¡¡¡¡¡¡3.Before 2001, the corporate income tax only included state-owned and collective-owned enterprises income tax. Since 2001, the corporate income tax also includes the income tax levied on other enterprises except for state-owned and collective-owned enterprises, the figures are not comparable with the previous years."
¡¡¡¡¡¡4.The expenditure of the local governments refers to the expenditure disbursed by the local governments.Expenditures before 2000 does not include the payment on the principal and interest of domestic and foreign debts and the expenditure for capital construction using foreign loans.
Data Sources£ºNational Bureau of Statistics
