Database???Annual by Province
Region£ºYunnan
Year£º2017
Indicators,2017
Local Governments General Budgetary Revenue(100 million yuan),1886.17
Local Governments Revenue Tax Revenue(100 million yuan),1233.85
Local Governments Revenue Domestic Value Added Tax(100 million yuan),527.91
Local Governments Revenue Business Tax(100 million yuan),
Local Governments Revenue Corporate Income Tax(100 million yuan),161.19
Local Governments Revenue Individual Income Tax(100 million yuan),69.15
Local Governments Revenue Resource Tax(100 million yuan),24.56
Local Governments Revenue Fixed assets investment orientation regulation tax(100 million yuan),
Local Governments Revenue City Maintenance and Construction Tax(100 million yuan),112.32
Local Governments Revenue House Property Tax(100 million yuan),41.96
Local Governments Revenue Stamp Tax(100 million yuan),19.55
Local Governments Revenue Urban Land Use Tax(100 million yuan),37.11
Local Governments Revenue Land Appreciation Tax(100 million yuan),50.53
Local Governments Revenue Tax on Vehicles and Boat Operation(100 million yuan),20.07
Local Governments Revenue Vehicle Purchase Tax(100 million yuan),52.99
Local Governments Revenue Deed Tax(100 million yuan),63.36
Local Governments Revenue Tobacco Leaf Tax,53.16
Local Governments Revenue Other Tax Revenue(100 million yuan),
Local Governments Revenue Non-tax Revenue(100 million yuan),652.32
Local Governments Revenue Special Program Receipts(100 million yuan),202.84
Local Governments Revenue Charge of Administrative and Institutional Units(100 million yuan),100.71
Local Governments Revenue Penalty Receipts(100 million yuan),58.79
Local Governments Revenue State-owned Capital Income,1.98
Local Governments Revenue State-owned Resources(Assets) Paid-use Income,231.19
Local Governments Revenue Other Non-tax Receipts(100 million yuan),56.82
Local Governments General Budgetary Expenditure(100 million yuan),5712.97
Local Governments Expenditure General Public Services(100 million yuan),609.83
Local Governments Expenditure Foreign Affairs(100 million yuan),0.00
Local Governments Expenditure National Defense(100 million yuan),5.99
Local Governments Expenditure Public Security(100 million yuan),343.26
Local Governments Expenditure Education(100 million yuan),998.33
Local Governments Expenditure Science and Technology(100 million yuan),53.42
Local Governments Expenditure Culture Sport and Media(100 million yuan),71.30
Local Governments Expenditure Social Safety Net and Employment Effort(100 million yuan),750.33
Local Governments Expenditure Medical and Health Care(100 million yuan),546.99
Local Governments Expenditure Environmental Protection(100 million yuan),179.48
Local Governments Expenditure Urban and Rural Community Affairs(100 million yuan),464.75
Local Governments Expenditure Agriculture forestry and Water Conservancy(100 million yuan),674.82
Local Governments Expenditure Transportation(100 million yuan),511.24
Local Governments Expenditure Affairs of Exploration Power and Information(100 million yuan),62.47
Local Governments Expenditure Affairs of Commerce and Services,28.69
Local Governments Expenditure Financial regulation(100 million yuan),4.38
Local Governments Expenditure Post-earthquake Recovery and Reconstruction,
Local Governments Expenditure Land Resources and Meteorology,60.30
Local Governments Expenditure Housing security,213.62
Local Governments Expenditure Affairs of Management of Grain and Oil Reserves(100 million yuan),15.02
Local Governments Expenditure Interest payment domestic and eign debts(100 million yuan),81.10
Local Governments Expenditure Other(100 million yuan),36.18
Note:1.The revenue of the local governments refers to the revenue collected by the local governments. It does not include the receipts of domestic and foreign debts.
¡¡¡¡¡¡2.Domestic value-added tax does not include value-added tax from imports.
"¡¡¡¡¡¡3.Before 2001, the corporate income tax only included state-owned and collective-owned enterprises income tax. Since 2001, the corporate income tax also includes the income tax levied on other enterprises except for state-owned and collective-owned enterprises, the figures are not comparable with the previous years."
¡¡¡¡¡¡4.The expenditure of the local governments refers to the expenditure disbursed by the local governments.Expenditures before 2000 does not include the payment on the principal and interest of domestic and foreign debts and the expenditure for capital construction using foreign loans.
Data Sources£ºNational Bureau of Statistics
