Database???Annual by Province
Region£ºZhejiang
Year£º2017
Indicators,2017
Local Governments General Budgetary Revenue(100 million yuan),5804.38
Local Governments Revenue Tax Revenue(100 million yuan),4940.74
Local Governments Revenue Domestic Value Added Tax(100 million yuan),2201.37
Local Governments Revenue Business Tax(100 million yuan),
Local Governments Revenue Corporate Income Tax(100 million yuan),822.19
Local Governments Revenue Individual Income Tax(100 million yuan),395.24
Local Governments Revenue Resource Tax(100 million yuan),12.58
Local Governments Revenue Fixed assets investment orientation regulation tax(100 million yuan),
Local Governments Revenue City Maintenance and Construction Tax(100 million yuan),329.09
Local Governments Revenue House Property Tax(100 million yuan),195.35
Local Governments Revenue Stamp Tax(100 million yuan),81.57
Local Governments Revenue Urban Land Use Tax(100 million yuan),116.29
Local Governments Revenue Land Appreciation Tax(100 million yuan),288.90
Local Governments Revenue Tax on Vehicles and Boat Operation(100 million yuan),51.59
Local Governments Revenue Vehicle Purchase Tax(100 million yuan),64.97
Local Governments Revenue Deed Tax(100 million yuan),381.59
Local Governments Revenue Tobacco Leaf Tax,0.02
Local Governments Revenue Other Tax Revenue(100 million yuan),
Local Governments Revenue Non-tax Revenue(100 million yuan),863.64
Local Governments Revenue Special Program Receipts(100 million yuan),467.56
Local Governments Revenue Charge of Administrative and Institutional Units(100 million yuan),68.99
Local Governments Revenue Penalty Receipts(100 million yuan),123.66
Local Governments Revenue State-owned Capital Income,-43.96
Local Governments Revenue State-owned Resources(Assets) Paid-use Income,211.04
Local Governments Revenue Other Non-tax Receipts(100 million yuan),36.35
Local Governments General Budgetary Expenditure(100 million yuan),7530.32
Local Governments Expenditure General Public Services(100 million yuan),765.03
Local Governments Expenditure Foreign Affairs(100 million yuan),
Local Governments Expenditure National Defense(100 million yuan),8.15
Local Governments Expenditure Public Security(100 million yuan),548.44
Local Governments Expenditure Education(100 million yuan),1430.15
Local Governments Expenditure Science and Technology(100 million yuan),303.50
Local Governments Expenditure Culture Sport and Media(100 million yuan),159.66
Local Governments Expenditure Social Safety Net and Employment Effort(100 million yuan),801.78
Local Governments Expenditure Medical and Health Care(100 million yuan),584.17
Local Governments Expenditure Environmental Protection(100 million yuan),190.15
Local Governments Expenditure Urban and Rural Community Affairs(100 million yuan),910.17
Local Governments Expenditure Agriculture forestry and Water Conservancy(100 million yuan),696.69
Local Governments Expenditure Transportation(100 million yuan),320.53
Local Governments Expenditure Affairs of Exploration Power and Information(100 million yuan),193.54
Local Governments Expenditure Affairs of Commerce and Services,140.38
Local Governments Expenditure Financial regulation(100 million yuan),10.47
Local Governments Expenditure Post-earthquake Recovery and Reconstruction,
Local Governments Expenditure Land Resources and Meteorology,67.95
Local Governments Expenditure Housing security,169.78
Local Governments Expenditure Affairs of Management of Grain and Oil Reserves(100 million yuan),16.77
Local Governments Expenditure Interest payment domestic and eign debts(100 million yuan),143.70
Local Governments Expenditure Other(100 million yuan),44.24
Note:1.The revenue of the local governments refers to the revenue collected by the local governments. It does not include the receipts of domestic and foreign debts.
¡¡¡¡¡¡2.Domestic value-added tax does not include value-added tax from imports.
"¡¡¡¡¡¡3.Before 2001, the corporate income tax only included state-owned and collective-owned enterprises income tax. Since 2001, the corporate income tax also includes the income tax levied on other enterprises except for state-owned and collective-owned enterprises, the figures are not comparable with the previous years."
¡¡¡¡¡¡4.The expenditure of the local governments refers to the expenditure disbursed by the local governments.Expenditures before 2000 does not include the payment on the principal and interest of domestic and foreign debts and the expenditure for capital construction using foreign loans.
Data Sources£ºNational Bureau of Statistics
