province,year,spending_budgetfund,spending_socialsafety,revenue_all,spending_all,spending_centralbond_reissuance,revenue_vehicleoper_tax,revenue_cityconstrtax,revenue_landuse_tax,spending_normalbond_balance,revenue_normalbond_lastyear,spending_debtservice,revenue_debt_onbook,spending_fund_transfer,revenue_budgetfund_transfer,revenue_fund_transfer,revenue_allnontax,spending_foreign,spending_grain,revenue_penalty,revenue_house_tax,revenue_incometax_ind,revenue_agriland_tax,revenue_capitalincome,revenue_lease,revenue_centralbond_reissue,spending_centralbond_balance,revenue_centralbond_lastyear,计划单列市上解省支出,接受其他地区援助收入,spending_health,revenue_donation,spending_RD,total_residual,spending_debtinterest,spending_debt_admin,spending_others,spending_culture,revenue_other_nontax,revenue_other_tax,revenue_incometax_corp,revenue_deed_tax,spending_defense,spending_central_transfer,revenue_residual_lastyear,省补助计划单列市收入,spending_environment,spending_landmanage,spending_agricultureland,spending_housesecure,spending_financialregulation,spending_donation,spending_transportation,spending_regulation,spending_commerce,spending_urbanaffairs,total_balance,spending_security,revenue_landappr_tax,spending_education,revenue_adminfee,revenue_tobacco_tax,revenue_alltax,spending_publicservice,revenue_stamp_tax,revenue_business_tax,spending_specialdonation,spending_budgetbuffer,revenue_vat,revenue_housefund,支出总计,revenue_central_transfer,revenue_specialprogram,revenue_resourcetax,en_province,revenue_vehiclepurch_tax
安徽省,2014,111.48,575.82,2218.44,4664.1,NA,12.83,98,100.38,NA,NA,45,173,2.05,26.74,118.07,525.92,NA,39.85,49.16,38.64,52.14,35.76,28.11,141.29,NA,NA,NA,NA,1,425,NA,129.59,109.45,22.16,NA,40.21,82.25,29.48,NA,218.32,195.66,5.7,23.71,102.42,NA,104.76,53.8,502.69,232.76,5.02,3.7,338.38,150.93,62.09,558.55,4955.79,179.6,96.67,743.07,148.43,1.92,1692.52,408.15,20.87,539.97,NA,NA,260.55,NA,4955.79,2316.12,129.45,20.82,Anhui,NA
安徽省,2015,298.6,691.54,2454.3,5239.01,NA,14.85,106.05,133.05,NA,NA,781.37,986.26,1.48,142,271.47,654.41,NA,32.21,54.4,46.15,53.14,45.12,22.87,173.85,NA,NA,NA,NA,NA,485.6,NA,147.94,98.79,26.27,0.97,17.72,88.19,27.74,NA,235.57,172.52,5.66,26.5,109.45,NA,124.83,61.53,577.74,276.63,6.93,4.13,383.97,181.2,63.43,609.65,6448.82,196.06,90.42,856.73,148.86,0.93,1799.89,400.09,21.6,586.8,NA,3.07,273.11,NA,6448.82,2485.34,226.69,20.6,Anhui,NA
安徽省,2016,420.51,761.59,2672.79,5522.95,NA,16.83,113.39,141.87,NA,NA,740.26,956.86,NA,257.38,199.82,815.26,NA,31.56,52.75,51.58,59.28,68.38,41.4,300.29,NA,NA,NA,NA,2,480.12,4.38,259.5,88.35,56.53,0.94,13.42,84.23,23.23,NA,233.24,185.4,6.08,26.29,98.79,NA,133.64,40.36,624.83,229.29,33.04,4.42,341.37,157.36,59.47,669.06,6798.22,221.17,104.83,910.87,160.16,1.36,1857.53,404.1,23.22,309.99,NA,-0.14,530.34,23.97,6798.22,2610.59,209.1,17.82,Anhui,NA
北京市,2014,130.73,509.01,4027.16,4524.67,NA,27.72,187.24,17.76,NA,NA,27,105,30.07,40.35,2.51,165.87,NA,5.64,38.67,140.22,383.52,4.69,-94.79,55.31,NA,0.08,0.08,NA,NA,322.29,NA,282.71,439.19,8.49,NA,271.72,163.9,9.39,0.01,915.84,192.52,8.49,60.61,503.44,NA,213.36,31.82,343.67,66.96,4.09,18.03,214.55,158.59,39.9,567.4,5212.35,279.78,214.33,742.05,53.9,NA,3861.29,272.23,61.33,1068.64,NA,NA,646.69,NA,5212.35,533.81,103.38,0.78,Beijing,NA
北京市,2015,645.65,700.48,4723.86,5737.7,NA,25.27,204.36,17.88,1.13,NA,591.09,734.23,0.14,358.92,494.55,459.95,NA,20.74,55.78,152.06,478.12,4.54,64.99,89.08,NA,0.08,0.08,NA,NA,370.52,NA,287.8,239.26,11.83,NA,258.45,188.5,32.32,NA,1024.73,210.23,7.81,62.52,439.19,NA,303.26,30.51,424.78,104.69,12.8,23.07,295.63,167.05,58.85,995.39,7277.57,319.75,174.86,855.67,64.38,NA,4263.91,300.12,68.69,1186.13,NA,NA,716.12,NA,7277.57,526.74,283.39,0.91,Beijing,NA
北京市,2016,396.67,716.21,5081.26,6406.77,NA,32.44,221.64,19.18,NA,1.13,183.69,601.56,NA,460.71,161.82,628.29,NA,11.07,45.66,198.22,571.26,3.34,NA,103.32,NA,0.08,0.08,NA,NA,397.95,0.84,285.78,241.79,36.33,0.79,212.72,198.35,15.27,0.01,1095.23,254.29,8.51,55.42,239.26,NA,363.38,19.51,443.55,322.09,11.3,41.21,353.48,194.67,56.15,1120.37,7284.42,358.79,177.35,887.38,55.37,NA,4452.97,367.2,80.52,584.41,NA,NA,1214.34,32.69,7284.42,738.6,375.16,0.75,Beijing,NA
重庆市,2014,65.96,502.94,1922.02,3304.39,0.02,8.33,74.35,63.36,NA,NA,25,99,NA,NA,84.61,640.19,0.17,10.4,32.5,40.37,43.24,38.26,NA,170.19,NA,0.39,0.41,NA,NA,246.34,NA,38.16,347.39,8.71,NA,3.69,36.02,40.1,NA,157.72,128.96,6.86,22.78,408.4,NA,105.51,39.02,291.62,64.39,9.76,1.89,260.87,147.66,34.79,577.79,3765.93,159.56,96.22,469.98,348.86,3.25,1281.83,288.27,20.68,444.09,NA,NA,153.29,NA,3765.93,1251.5,48.53,9.71,Chongqing,NA
重庆市,2015,126.23,569.63,2154.83,3792,NA,10.03,78.79,121.31,NA,NA,555.29,656.29,0.51,64.18,164.74,703.9,0.26,13.39,39.6,52.46,50.36,48.8,NA,207.04,NA,0.39,0.39,NA,NA,313.98,NA,45.67,240.36,12.33,0.67,4.27,47.01,38.6,NA,179.42,134.48,7.4,24.07,347.39,NA,140.73,37.12,331.33,85.9,13.51,1.82,294.06,193.5,41.92,627.82,4738.83,203.29,94.36,536.24,312.38,3.84,1450.93,270.17,20.56,468.82,NA,0.02,175.92,NA,4738.83,1351.02,106.27,11.76,Chongqing,NA
重庆市,2016,138.28,640.55,2227.91,4001.81,NA,11,81.49,139.14,NA,NA,629.43,760.06,NA,123.22,143.15,789.46,0.2,10.62,41.06,56.88,58.55,48.67,NA,281.73,NA,0.39,0.39,NA,NA,331.18,6.74,51.62,238.68,34.3,0.77,3.5,47.98,29.4,NA,187.71,129.84,6.25,22.06,240.36,NA,136.2,45.16,347.99,108.19,4.52,1.56,268,143.64,48.13,684.56,5030.62,226.16,102.77,575.18,309.26,3.76,1438.45,285.54,23.8,215.75,NA,-0.02,367.76,24.98,5030.62,1535.53,96.3,11.34,Chongqing,NA
福建省,2014,156.81,258.71,2362.21,3306.7,NA,14.78,101.3,38.34,NA,NA,27,132,24.64,20.64,58.07,468.48,NA,15.63,50.99,61.91,86.67,33.67,46.15,153.04,NA,0.26,0.26,NA,NA,292.14,NA,67.4,569.38,16.18,NA,121.13,64.18,21.65,NA,322.92,126.66,6.56,44.28,578.3,NA,61.8,42.78,320.32,91.46,2.98,2.15,310.93,177.75,65.24,269.74,4131.11,191.63,213.37,634.6,115.95,7.8,1893.73,293.4,29.77,581.85,0.1,1.95,262.73,NA,4131.11,979.63,80.7,11.96,Fujian,NA
