Database???Annual by Province
Indicators£ºGross Regional Product(100 million yuan)
Year£ºLATEST20
Region,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
Beijing,,28014.94,25669.13,23014.59,21330.83,19800.81,17879.40,16251.93,14113.58,12153.03,11115.00,9846.81,8117.78,6969.52,6033.21,5007.21,4315.00,3707.96,3161.66,2678.82
Tianjin,,18549.19,17885.39,16538.19,15726.93,14442.01,12893.88,11307.28,9224.46,7521.85,6719.01,5252.76,4462.74,3905.64,3110.97,2578.03,2150.76,1919.09,1701.88,1500.95
Hebei,,34016.32,32070.45,29806.11,29421.15,28442.95,26575.01,24515.76,20394.26,17235.48,16011.97,13607.32,11467.60,10012.11,8477.63,6921.29,6018.28,5516.76,5043.96,4514.19
Shanxi,,15528.42,13050.41,12766.49,12761.49,12665.25,12112.83,11237.55,9200.86,7358.31,7315.40,6024.45,4878.61,4230.53,3571.37,2855.23,2324.80,2029.53,1845.72,1667.10
Inner Mongolia,,16096.21,18128.10,17831.51,17770.19,16916.50,15880.58,14359.88,11672.00,9740.25,8496.20,6423.18,4944.25,3905.03,3041.07,2388.38,1940.94,1713.81,1539.12,1379.31
Liaoning,,23409.24,22246.90,28669.02,28626.58,27213.22,24846.43,22226.70,18457.27,15212.49,13668.58,11164.30,9304.52,8047.26,6672.00,6002.54,5458.22,5033.08,4669.06,4171.69
Jilin,,14944.53,14776.80,14063.13,13803.14,13046.40,11939.24,10568.83,8667.58,7278.75,6426.10,5284.69,4275.12,3620.27,3122.01,2662.08,2348.54,2120.35,1951.51,1672.96
Heilongjiang,,15902.68,15386.09,15083.67,15039.38,14454.91,13691.58,12582.00,10368.60,8587.00,8314.37,7104.00,6211.80,5513.70,4750.60,4057.40,3637.20,3390.10,3151.40,2866.30
Shanghai,,30632.99,28178.65,25123.45,23567.70,21818.15,20181.72,19195.69,17165.98,15046.45,14069.86,12494.01,10572.24,9247.66,8072.83,6694.23,5741.03,5210.12,4771.17,4188.73
Jiangsu,,85869.76,77388.28,70116.38,65088.32,59753.37,54058.22,49110.27,41425.48,34457.30,30981.98,26018.48,21742.05,18598.69,15003.60,12442.87,10606.85,9456.84,8553.69,7697.82
Zhejiang,,51768.26,47251.36,42886.49,40173.03,37756.59,34665.33,32318.85,27722.31,22990.35,21462.69,18753.73,15718.47,13417.68,11648.70,9705.02,8003.67,6898.34,6141.03,5443.92
Anhui,,27018.00,24407.62,22005.63,20848.75,19229.34,17212.05,15300.65,12359.33,10062.82,8851.66,7360.92,6112.50,5350.17,4759.30,3923.11,3519.72,3246.71,2902.09,2712.34
Fujian,,32182.09,28810.58,25979.82,24055.76,21868.49,19701.78,17560.18,14737.12,12236.53,10823.01,9248.53,7583.85,6554.69,5763.35,4983.67,4467.55,4072.85,3764.54,3414.19
Jiangxi,,20006.31,18499.00,16723.78,15714.63,14410.19,12948.88,11702.82,9451.26,7655.18,6971.05,5800.25,4820.53,4056.76,3456.70,2807.41,2450.48,2175.68,2003.07,1853.65
Shandong,,72634.15,68024.49,63002.33,59426.59,55230.32,50013.24,45361.85,39169.92,33896.65,30933.28,25776.91,21900.19,18366.87,15021.84,12078.15,10275.50,9195.04,8337.47,7493.84
Henan,,44552.83,40471.79,37002.16,34938.24,32191.30,29599.31,26931.03,23092.36,19480.46,18018.53,15012.46,12362.79,10587.42,8553.79,6867.70,6035.48,5533.01,5052.99,4517.94
Hubei,,35478.09,32665.38,29550.19,27379.22,24791.83,22250.45,19632.26,15967.61,12961.10,11328.92,9333.40,7617.47,6590.19,5633.24,4757.45,4212.82,3880.53,3545.39,3229.29
Hunan,,33902.96,31551.37,28902.21,27037.32,24621.67,22154.23,19669.56,16037.96,13059.69,11555.00,9439.60,7688.67,6596.10,5641.94,4659.99,4151.54,3831.90,3551.49,3214.54
Guangdong,,89705.23,80854.91,72812.55,67809.85,62474.79,57067.92,53210.28,46013.06,39482.56,36796.71,31777.01,26587.76,22557.37,18864.62,15844.64,13502.42,12039.25,10741.25,9250.68
Guangxi,,18523.26,18317.64,16803.12,15672.89,14449.90,13035.10,11720.87,9569.85,7759.16,7021.00,5823.41,4746.16,3984.10,3433.50,2821.11,2523.73,2279.34,2080.04,1971.41
